U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,theta_1c_diff,theta_1s_diff,delta_e,delta_r,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
0,0.287971850385961,-0.010683682642027,7.36910790056088e-05,0.00670611119415599,0.0461691481834802,-0.000940224501823715,5.2112934985041,10.0955570124277,0,0,0,0,0,0,18.8402954652815,13.5350107214404,0.016346533343411,-0.0049320380642063,0.00299508045231462,0.0221353184672867,-0.00499666292530743,0.00288597747625915,307572.513650253,592428.781191622,15372.1064460984,912035.120250468
1,0.287401675471856,-0.0104306195004624,5.158783333159e-06,0.00423593090292954,0.0478189847274421,-0.000901237732373306,5.25632284385272,10.0681313926129,0,0,0,0,0,0,18.7018657955992,13.5033291387525,0.0163773847525941,-0.00520628832736244,0.000449857247748237,0.0220849219141815,-0.00519151094252084,0.000396357998254582,309518.046509092,590279.846312344,15083.1017574894,911832.532199707
2,0.286547812152827,-0.0101303870595752,-5.62897359104737e-05,0.00179148010128398,0.0494152163222203,-0.00085912216288568,5.3014542712113,10.0153645789328,0,0,0,0,0,0,18.5130501105785,13.435117848329,0.0164016151508376,-0.00548169283307942,-0.00207658427009842,0.0220303188245475,-0.00539277770406274,-0.00207471582661098,311490.332941964,587028.772843115,14793.1944927571,910556.187072387
3,0.28542389220268,-0.00978798173370914,-0.000105991941368954,-0.000616520406160999,0.0509335360964862,-0.000811267302009033,5.34533080187914,9.93676467878588,0,0,0,0,0,0,18.2765283229366,13.331497849267,0.0164194287215534,-0.00575488899828255,-0.00457057469144628,0.0219717298404831,-0.00559862237441832,-0.00451334583276502,313443.726061908,582661.955082796,14518.7077905762,908146.832280407
4,0.284045462556653,-0.00940845264359991,-0.000139731980286719,-0.00297721367444178,0.0523508912813284,-0.000755424695618127,5.38633460733115,9.83207316639974,0,0,0,0,0,0,17.9951953736189,13.1938124351971,0.016431102794333,-0.00602265394083955,-0.00701756609119371,0.0219093865423284,-0.00580714147723135,-0.00690484447394274,315323.918115539,577175.739892333,14269.9922708148,904546.506931326
5,0.282430242703614,-0.00899673007470353,-0.000153900513771691,-0.00527959757476802,0.0536458727154367,-0.000689791693141739,5.42263945411011,9.70130718392546,0,0,0,0,0,0,17.6721672125087,13.0237231565049,0.0164370476882674,-0.0062819168319672,-0.00940201609159319,0.0218434821959627,-0.00601638571917959,-0.00923363371095979,317070.244740288,570577.075639145,14051.6559033805,899701.495029997
6,0.280598455083855,-0.0085575098389309,-0.000145687847436998,-0.00751258450588593,0.054799205476336,-0.000613115230590913,5.45228235035137,9.544813513393,0,0,0,0,0,0,17.3108105304324,12.8233113299627,0.0164378662779039,-0.00652979237109049,-0.0117074033768522,0.02177412433695,-0.00622439861415579,-0.0114832765292531,318618.650235199,562884.818626763,13864.0379583799,893566.597178993
7,0.278573199261903,-0.00809520889654942,-0.000113307809778144,-0.0096651543308169,0.0557943485886181,-0.000524814392964844,5.47325780046778,9.36333021276441,0,0,0,0,0,0,16.9147955641259,12.5951776059352,0.0164344097039585,-0.00676364158994803,-0.0139164187779647,0.0217012915485617,-0.00642927738936208,-0.0136366845844422,319905.370781105,554131.629598622,13705.1925733575,886110.710302583
8,0.276380811663974,-0.00761399827509701,-5.62382814107519e-05,-0.0117266242056657,0.0566181891360677,-0.000425112628384051,5.48363611600941,9.15804752588617,0,0,0,0,0,0,16.4881654819507,12.3425283903367,0.0164278239790899,-0.00698116407690058,-0.0160113761899304,0.021624797473957,-0.00662925393793265,-0.0156765441866334,320871.304254674,544366.199653145,13571.7241382249,877323.423375858
9,0.274049299468961,-0.00711816182440143,2.45970544720707e-05,-0.0136869343151006,0.0572615122536818,-0.000315132641811022,5.48168176025071,8.93091665897782,0,0,0,0,0,0,16.0352352823718,12.0688524941033,0.0164193602358001,-0.00718048301938623,-0.0179748080036099,0.021544424272439,-0.00682277306603992,-0.017585923109868,321463.999380951,533670.395664386,13460.215165982,867234.151997917
