iter	Passed	Remaining
0	35	71936
1	66	66340
2	80	53335
3	94	46939
4	112	44971
5	125	41762
6	144	41275
7	165	41111
8	184	40745
9	197	39278
10	208	37632
11	225	37398
12	244	37331
13	283	40259
14	301	39935
15	327	40632
16	349	40760
17	362	39947
18	383	39969
19	393	38982
20	404	38081
21	417	37499
22	431	37079
23	445	36686
24	463	36639
25	499	37912
26	536	39198
27	549	38724
28	567	38588
29	583	38300
30	594	37729
31	608	37424
32	618	36876
33	628	36340
34	637	35811
35	647	35349
36	680	36117
37	701	36227
38	721	36300
39	740	36279
40	757	36196
41	770	35914
42	787	35830
43	799	35543
44	816	35461
45	824	35034
46	835	34712
47	844	34341
48	857	34161
49	882	34431
50	901	34463
51	913	34222
52	921	33861
53	943	34006
54	965	34127
55	1029	35751
56	1048	35726
57	1091	36538
58	1125	37039
59	1148	37138
60	1179	37489
61	1212	37887
62	1231	37862
63	1316	39814
64	1352	40262
65	1367	40082
66	1383	39925
67	1392	39558
68	1401	39231
69	1411	38912
70	1423	38670
71	1444	38674
72	1469	38791
73	1507	39241
74	1555	39922
75	1606	40671
76	1619	40445
77	1664	41023
78	1692	41167
79	1711	41068
80	1728	40939
81	1743	40780
82	1752	40486
83	1770	40395
84	1792	40385
85	1808	40256
86	1823	40100
87	1833	39830
88	1842	39571
89	1853	39336
90	1869	39216
91	1878	38949
92	1887	38704
93	1896	38445
94	1909	38284
95	1924	38176
96	1933	37935
97	1947	37805
98	1958	37607
99	1976	37548
100	2000	37612
101	2010	37408
102	2030	37402
103	2040	37191
104	2053	37069
105	2070	36990
106	2085	36904
107	2096	36721
108	2109	36605
109	2120	36440
110	2133	36301
111	2166	36516
112	2219	37064
113	2262	37423
114	2294	37609
115	2317	37642
116	2338	37629
117	2358	37610
118	2412	38126
119	2453	38435
120	2478	38489
121	2487	38295
122	2497	38110
123	2511	37995
124	2525	37875
125	2535	37712
126	2548	37581
127	2560	37448
128	2569	37272
129	2578	37086
130	2591	36968
131	2600	36807
132	2610	36646
133	2632	36658
134	2648	36593
135	2669	36591
136	2687	36549
137	2701	36446
138	2715	36357
139	2732	36307
140	2741	36148
141	2755	36057
142	2769	35969
143	2780	35834
144	2792	35720
145	2806	35641
146	2822	35583
147	2847	35630
148	2862	35558
149	2884	35575
150	2900	35511
151	2909	35379
152	2918	35236
153	2931	35140
154	2940	34999
155	2948	34857
156	2957	34717
157	2966	34580
158	2974	34442
159	2983	34308
160	2992	34178
161	3000	34042
162	3015	33988
163	3035	33977
164	3048	33900
165	3060	33811
166	3082	33838
167	3092	33725
168	3102	33609
169	3114	33522
170	3125	33426
171	3134	33314
172	3143	33201
173	3159	33157
174	3171	33073
175	3182	32977
176	3194	32906
177	3206	32821
178	3217	32736
179	3242	32787
180	3262	32784
181	3278	32748
182	3291	32677
183	3304	32609
184	3334	32712
185	3359	32766
186	3381	32785
187	3392	32694
188	3412	32702
189	3437	32743
190	3461	32781
191	3486	32833
192	3500	32774
193	3513	32712
194	3523	32615
195	3534	32527
196	3543	32433
197	3554	32345
198	3562	32244
199	3571	32142
200	3581	32051
201	3590	31961
202	3599	31863
203	3609	31777
204	3618	31683
205	3627	31594
206	3643	31557
207	3679	31696
208	3707	31773
209	3731	31803
210	3748	31783
211	3770	31796
212	3781	31722
213	3794	31666
214	3813	31657
215	3823	31577
216	3832	31486
217	3854	31511
218	3879	31551
219	3891	31482
220	3909	31468
221	3920	31398
222	3933	31340
223	3941	31254
224	3952	31183
225	3964	31119
226	3974	31040
227	3982	30953
228	3994	30892
229	4003	30806
230	4013	30737
231	4022	30653
232	4033	30591
233	4045	30528
234	4063	30519
235	4081	30509
236	4096	30470
237	4111	30440
238	4120	30362
239	4128	30277
240	4137	30201
241	4146	30122
242	4155	30046
243	4163	29963
244	4172	29886
245	4180	29807
246	4188	29729
247	4197	29654
248	4206	29580
249	4215	29507
250	4223	29430
251	4232	29359
252	4243	29301
253	4264	29315
254	4305	29461
255	4333	29518
256	4357	29552
257	4376	29547
258	4400	29579
259	4409	29510
260	4419	29447
261	4434	29414
262	4449	29384
263	4472	29408
264	4487	29381
265	4503	29360
266	4516	29315
267	4525	29245
268	4537	29199
269	4546	29130
270	4558	29081
271	4568	29023
272	4577	28959
273	4586	28889
274	4598	28847
275	4609	28793
276	4617	28724
277	4627	28660
278	4638	28612
279	4650	28565
280	4669	28567
281	4689	28569
282	4707	28559
283	4715	28493
284	4724	28431
285	4736	28386
286	4748	28341
287	4757	28279
288	4765	28215
289	4774	28155
290	4782	28089
291	4791	28025
292	4799	27960
293	4807	27898
294	4816	27838
295	4825	27777
296	4834	27722
297	4843	27662
298	4864	27676
299	4888	27701
300	4903	27678
301	4916	27642
302	4925	27585
303	4933	27524
304	4946	27489
305	4954	27429
306	4964	27379
307	4974	27324
308	4985	27283
309	4996	27240
310	5005	27185
311	5013	27126
312	5028	27103
313	5037	27049
314	5046	26995
315	5055	26940
316	5075	26945
317	5094	26946
318	5110	26931
319	5120	26884
320	5142	26895
321	5150	26840
322	5162	26803
323	5171	26752
324	5184	26718
325	5193	26666
326	5202	26616
327	5211	26565
328	5223	26530
329	5232	26479
330	5242	26432
331	5251	26382
332	5262	26342
333	5276	26318
334	5298	26335
335	5318	26337
336	5341	26359
337	5368	26396
338	5386	26390
339	5403	26381
340	5414	26341
341	5424	26297
342	5435	26256
343	5443	26205
344	5452	26157
345	5470	26149
346	5487	26138
347	5508	26148
348	5525	26140
349	5535	26094
350	5550	26077
351	5560	26031
352	5568	25981
353	5578	25937
354	5589	25898
355	5599	25858
356	5608	25813
357	5617	25765
358	5631	25742
359	5641	25698
360	5650	25653
361	5662	25621
362	5671	25576
363	5680	25532
364	5706	25559
365	5723	25550
366	5744	25559
367	5752	25512
368	5764	25481
369	5774	25437
370	5786	25408
371	5796	25365
372	5805	25324
373	5814	25279
374	5827	25250
375	5837	25214
376	5856	25211
377	5873	25201
378	5881	25155
379	5890	25113
380	5899	25067
381	5911	25039
382	5929	25036
383	5942	25005
384	5952	24971
385	5971	24967
386	5983	24939
387	5992	24895
388	6001	24855
389	6010	24811
390	6019	24769
391	6028	24727
392	6037	24687
393	6046	24644
394	6055	24603
395	6071	24592
396	6080	24552
397	6089	24511
398	6102	24485
399	6115	24462
400	6135	24465
401	6152	24457
402	6162	24422
403	6182	24425
404	6191	24383
405	6203	24354
406	6212	24316
407	6224	24288
408	6234	24251
409	6243	24212
410	6251	24170
411	6324	24375
412	6362	24448
413	6374	24420
414	6399	24439
415	6413	24421
416	6422	24380
417	6433	24349
418	6447	24326
419	6456	24288
420	6464	24245
421	6477	24222
422	6486	24182
423	6495	24145
424	6504	24104
425	6513	24064
426	6522	24028
427	6542	24029
428	6557	24012
429	6569	23987
430	6588	23984
431	6597	23944
432	6605	23905
433	6613	23865
434	6623	23828
435	6631	23788
436	6639	23748
437	6648	23709
438	6656	23669
439	6669	23647
440	6678	23609
441	6691	23586
442	6700	23549
443	6712	23522
444	6725	23502
445	6746	23505
446	6762	23495
447	6780	23490
448	6792	23464
449	6805	23440
450	6814	23404
451	6822	23366
452	6849	23390
453	6860	23361
454	6872	23335
455	6882	23305
456	6891	23267
457	6900	23231
458	6913	23212
459	6922	23176
460	6944	23182
461	6965	23187
462	6982	23179
463	6998	23167
464	7007	23132
465	7016	23097
466	7025	23061
467	7036	23035
468	7047	23007
469	7056	22972
470	7068	22947
471	7079	22919
472	7088	22883
473	7097	22849
474	7105	22813
475	7114	22778
476	7126	22754
477	7147	22757
478	7160	22737
479	7169	22702
480	7187	22698
481	7195	22662
482	7207	22637
483	7219	22613
484	7228	22579
485	7237	22545
486	7245	22511
487	7272	22533
488	7293	22536
489	7324	22570
490	7360	22622
491	7380	22620
492	7398	22614
493	7409	22588
494	7419	22558
495	7437	22551
496	7446	22517
497	7454	22483
498	7463	22450
499	7475	22427
500	7486	22401
501	7495	22365
502	7504	22333
503	7517	22313
504	7534	22304
505	7556	22310
506	7569	22291
507	7583	22274
508	7596	22252
509	7605	22219
510	7618	22198
511	7627	22166
512	7639	22143
513	7649	22114
514	7658	22084
515	7667	22052
516	7680	22032
517	7691	22005
518	7700	21974
519	7709	21943
520	7717	21909
521	7726	21877
522	7744	21870
523	7763	21868
524	7782	21866
525	7794	21842
526	7807	21823
527	7833	21837
528	7845	21815
529	7854	21784
530	7862	21751
531	7875	21731
532	7887	21709
533	7896	21677
534	7908	21656
535	7919	21630
536	7928	21599
537	7937	21569
538	7956	21567
539	7978	21570
540	7991	21551
541	8001	21525
542	8018	21515
543	8027	21485
544	8038	21460
545	8051	21439
546	8060	21409
547	8071	21386
548	8082	21361
549	8090	21330
550	8099	21300
551	8108	21271
552	8119	21245
553	8130	21220
554	8138	21189
555	8150	21168
556	8172	21172
557	8191	21168
558	8211	21168
559	8222	21142
560	8241	21138
561	8261	21138
562	8293	21168
563	8310	21158
564	8320	21132
565	8332	21111
566	8342	21083
567	8356	21067
568	8377	21069
569	8389	21046
570	8405	21035
571	8414	21006
572	8423	20976
573	8433	20951
574	8445	20929
575	8455	20903
576	8463	20871
577	8475	20852
578	8487	20829
579	8496	20800
580	8505	20772
581	8519	20756
582	8528	20727
583	8536	20698
584	8544	20668
585	8565	20669
586	8588	20674
587	8602	20658
588	8617	20644
589	8630	20625
590	8639	20597
591	8652	20578
592	8661	20550
593	8672	20528
594	8683	20504
595	8693	20478
596	8701	20448
597	8714	20430
598	8722	20400
599	8732	20375
600	8740	20347
601	8753	20327
602	8765	20306
603	8784	20303
604	8813	20321
605	8829	20310
606	8841	20289
607	8850	20262
608	8862	20241
609	8871	20215
610	8881	20190
611	8889	20161
612	8899	20135
613	8907	20107
614	8917	20082
615	8926	20054
616	8934	20027
617	8943	20000
618	8952	19973
619	8969	19964
620	8987	19957
621	9002	19944
622	9014	19923
623	9023	19897
624	9031	19870
625	9041	19844
626	9049	19815
627	9062	19798
628	9070	19771
629	9082	19750
630	9091	19724
631	9103	19704
632	9112	19679
633	9122	19654
634	9130	19627
635	9143	19609
636	9158	19597
637	9183	19604
638	9200	19595
639	9211	19574
640	9243	19596
641	9327	19729
642	9375	19785
643	9398	19789
644	9416	19781
645	9429	19763
646	9440	19742
647	9450	19716
648	9461	19696
649	9472	19673
650	9481	19647
651	9490	19620
652	9500	19597
653	9509	19570
654	9517	19543
655	9526	19517
656	9534	19490
657	9543	19464
658	9552	19438
659	9560	19410
660	9569	19385
661	9588	19379
662	9604	19367
663	9616	19347
664	9631	19334
665	9639	19307
666	9648	19282
667	9663	19270
668	9674	19248
669	9686	19228
670	9699	19210
671	9708	19185
672	9717	19160
673	9726	19135
674	9738	19115
675	9748	19092
676	9757	19068
677	9765	19042
678	9774	19016
679	9799	19022
680	9819	19018
681	9835	19008
682	9848	18990
683	9862	18975
684	9870	18949
685	9880	18925
686	9889	18900
687	9901	18882
688	9912	18861
689	9921	18836
690	9933	18818
691	9944	18797
692	9955	18776
693	9965	18752
694	9978	18737
695	9990	18718
696	10005	18704
697	10033	18714
698	10051	18707
699	10067	18697
700	10097	18712
701	10126	18723
702	10147	18720
703	10165	18714
704	10193	18724
705	10231	18753
706	10299	18835
707	10326	18844
708	10357	18859
709	10371	18844
710	10396	18847
711	10409	18829
712	10418	18805
713	10432	18789
714	10450	18781
715	10472	18779
716	10483	18759
717	10499	18747
718	10517	18738
719	10526	18714
720	10536	18690
721	10549	18674
722	10561	18654
723	10570	18630
724	10580	18607
725	10596	18594
726	10606	18571
727	10616	18549
728	10629	18532
729	10648	18524
730	10670	18524
731	10689	18515
732	10697	18491
733	10707	18468
734	10716	18444
735	10726	18420
736	10735	18396
737	10744	18372
738	10752	18348
739	10762	18324
740	10770	18299
741	10780	18277
742	10798	18268
743	10811	18252
744	10859	18293
745	10875	18282
746	10884	18258
747	10902	18248
748	10915	18231
749	10926	18210
750	10940	18195
751	10950	18172
752	10959	18149
753	10969	18127
754	10980	18106
755	10990	18084
756	10999	18061
757	11015	18048
758	11024	18026
759	11035	18004
760	11044	17981
761	11063	17975
762	11085	17971
763	11101	17959
764	11119	17951
765	11156	17972
766	11238	18066
767	11271	18081
768	11296	18082
769	11314	18073
770	11326	18055
771	11344	18045
772	11353	18022
773	11363	17998
774	11372	17975
775	11382	17953
776	11397	17939
777	11407	17916
778	11419	17899
779	11433	17882
780	11445	17865
781	11459	17848
782	11469	17827
783	11492	17825
784	11513	17820
785	11529	17807
786	11547	17798
787	11560	17780
788	11568	17756
789	11580	17737
790	11591	17717
791	11600	17693
792	11608	17669
793	11621	17651
794	11629	17627
795	11640	17606
796	11648	17583
797	11661	17565
798	11676	17551
799	11695	17543
800	11713	17533
801	11728	17518
802	11748	17513
803	11775	17516
804	11791	17504
805	11803	17485
806	11812	17461
807	11825	17444
808	11834	17423
809	11843	17399
810	11851	17375
811	11865	17359
812	11880	17345
813	11900	17338
814	11912	17320
815	11927	17305
816	11935	17281
817	11944	17259
818	11952	17235
819	11960	17211
820	11969	17188
821	11978	17165
