iter	RMSE
0	137698.7758
1	119283.5847
2	112522.5176
3	107591.2798
4	101911.9381
5	98582.69469
6	96072.1684
7	93900.52946
8	92112.76
9	89784.57947
10	88548.16123
11	87662.21977
12	86532.2785
13	85557.23733
14	84497.84504
15	83592.32377
16	82390.54507
17	81717.30076
18	80728.84386
19	79702.9634
20	78888.9376
21	78371.92968
22	77698.73559
23	77191.71293
24	76744.16262
25	76036.51692
26	75835.49699
27	75574.47227
28	74562.60937
29	74096.91741
30	73908.2986
31	73579.20444
32	73302.10142
33	72846.51972
34	72452.97557
35	72239.58976
36	71885.67714
37	71116.20747
38	70765.85003
39	70418.91072
40	69944.58884
41	69431.03352
42	69155.10275
43	68931.53947
44	68693.45777
45	68603.42651
46	68239.79525
47	67809.58531
48	67445.62653
49	67139.70191
50	66925.46257
51	66712.00568
52	66530.37533
53	66243.78273
54	65996.48307
55	65710.15284
56	65541.44019
57	65343.78414
58	65142.42985
59	64858.99482
60	64654.46644
61	64573.02645
62	64338.34993
63	64234.09204
64	63923.60899
65	63597.55218
66	63331.88835
67	63225.65022
68	63010.90962
69	62656.82836
70	62457.48972
71	62223.00953
72	62029.21893
73	61929.24712
74	61813.62162
75	61541.45407
76	61365.85313
77	61164.04207
78	61075.88763
79	60889.83774
80	60706.71117
81	60655.59597
82	60503.00523
83	60334.61632
84	60168.54492
85	60071.6252
86	59946.30154
87	59861.48675
88	59655.99384
89	59541.91174
90	59376.99046
91	59274.32621
92	58949.99267
93	58821.76313
94	58566.53586
95	58447.16354
96	58391.21943
97	58184.40353
98	58090.36516
99	57953.97057
100	57826.22248
101	57675.01665
102	57615.27401
103	57481.38381
104	57414.65766
105	57306.3803
106	57164.59083
107	57032.70742
108	56924.61282
109	56742.98143
110	56603.38755
111	56498.53491
112	56384.44125
113	56187.0082
114	56073.96322
115	55902.06765
116	55786.51509
117	55717.37889
118	55612.52882
119	55490.84835
120	55413.53098
121	55276.0297
122	55156.50692
123	54989.73874
124	54869.56868
125	54530.93858
126	54386.3643
127	54246.62152
128	54143.58494
129	54069.53297
130	53801.96309
131	53660.08532
132	53534.93997
133	53378.13883
134	53257.24094
135	53104.89149
136	53012.59719
137	52873.59725
138	52754.18435
139	52687.17591
140	52436.24724
141	52303.96073
142	52149.47905
143	51987.17424
144	51822.91929
145	51672.06096
146	51583.32225
147	51444.11543
148	51375.87123
149	51286.90606
150	51221.3513
151	51128.60581
152	50999.51248
153	50861.81091
154	50773.90811
155	50713.44938
156	50607.85603
157	50519.39658
158	50478.4254
159	50425.91652
160	50325.05464
161	50243.1825
162	50179.39094
163	50085.56121
164	49998.58062
165	49894.03205
166	49845.14356
167	49750.66466
168	49611.63374
169	49528.60828
170	49424.0569
171	49360.62459
172	49243.50972
173	49134.48882
174	49026.31754
175	48848.96606
176	48812.48617
