U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
0,0.28797185038687,-0.0106836826406024,7.36910790200854e-05,0.00670611119422175,0.0461691481834024,-0.000940224501900574,5.21129349817156,10.0955570127726,0,0,0,0,0,0,18.8402956685025,13.5350108720013,0.0163465327407899,-0.00493203806424863,0.00299508045235417,0.0221353180220839,-0.00499666292536246,0.00288597747627727,307572.507196665,592428.778732233,12033.8254085925,912035.11133749
1,0.287402684279264,-0.0104306290482795,5.16141056879751e-06,0.00423609505219333,0.0477980792520813,-0.000901271086433056,5.25634731189882,10.068172904928,0,0,0,0,0,0,18.7019459164189,13.5033867955607,0.0163775594782545,-0.00520641424172503,0.000449936416886759,0.0220851543463401,-0.00519163932877377,0.000396434035327719,309520.534412618,590286.160501084,12034.6393782713,911841.334291973
2,0.286552053694546,-0.0101304129503797,-5.62779578696786e-05,0.00179185372939927,0.0493320554598327,-0.000859212969367561,5.30154855931916,10.0154922829828,0,0,0,0,0,0,18.5133131376199,13.4353065471077,0.016402329991847,-0.00548200163958363,-0.00207635257448148,0.0220312299042742,-0.00539309412126267,-0.00207448978926207,311500.372522291,587051.72761508,12037.0812873079,910589.181424679
3,0.28543394718193,-0.0097880235721477,-0.000105954765972052,-0.000616291932987654,0.0507474139794963,-0.000811379711603878,5.34553388705083,9.93697162515286,0,0,0,0,0,0,18.2770010621821,13.3318339666796,0.0164210718329222,-0.00575514520919313,-0.00457018940308643,0.021973739001496,-0.00559888965007083,-0.00451295928879829,313466.457477329,582708.665465686,12041.1511357022,908216.274078717
4,0.284064350325177,-0.00940852067493848,-0.000139636859439269,-0.00297783154217088,0.0520216384511895,-0.000755473204596939,5.38667790602068,9.83231042338154,0,0,0,0,0,0,17.9958431652897,13.1942641128297,0.0164340904793989,-0.00602234883394856,-0.00701701845535682,0.0219128922452222,-0.00580684305275769,-0.00690427274699008,315364.550040662,577250.543446496,12046.8489234542,904661.942410612
5,0.282461524601253,-0.00899686532263218,-0.0001536978346748,-0.00528203650338925,0.0531337055485078,-0.000689656982788439,5.42314630007573,9.70149532935411,0,0,0,0,0,0,17.672911299749,13.0242218255301,0.0164418315722504,-0.00628030888680761,-0.00940120574836908,0.0218488676751529,-0.0060147633355568,-0.00923275685352799,317134.070190934,570682.0542555,12054.1746505639,899870.299096998
6,0.280646356417433,-0.00855780547573684,-0.000145316765667804,-0.007518009348917,0.054064551491904,-0.000612664457580918,5.45296875887855,9.54485546409778,0,0,0,0,0,0,17.3115474836901,12.8237656166434,0.0164449427061897,-0.00652596437695429,-0.0117060569774625,0.0217817634359591,-0.00622050542059803,-0.0114818011513465,318711.109834778,563020.382651085,12063.1283170313,893794.620802895
7,0.278642746043343,-0.00809583206193104,-0.000112708759525669,-0.0096748368823033,0.0547976685260465,-0.00052392458741844,5.47413512249027,9.36312480316227,0,0,0,0,0,0,16.9154181971977,12.5954892314868,0.016444330940484,-0.00675656936493231,-0.0139140193618276,0.0217115544093065,-0.00642204113474321,-0.0136340767076492,320032.177915876,554297.136025141,12073.7099228565,886403.023863873
8,0.276477976303439,-0.00761521149557655,-5.53712169688968e-05,-0.0117418716887114,0.0553198165044783,-0.000423695473995108,5.48471603012647,9.15750309618568,0,0,0,0,0,0,16.4885845489109,12.3426093985225,0.0164412104452481,-0.00696979135841587,-0.0160071129613609,0.0216380559664046,-0.00661754456570676,-0.0156719825137456,321038.638821817,544560.574097786,12085.9194680394,877685.132387643
9,0.274181146280377,-0.00712034325609939,2.57311074266175e-05,-0.0137090402289923,0.0556215245167833,-0.000313158233893756,5.48298371591655,8.92996371829638,0,0,0,0,0,0,16.0354008679694,12.0686425131649,0.0164369126084782,-0.00716379724697735,-0.0179675559957574,0.0215610573060061,-0.00680546925932574,-0.0175782817557527,321678.761981372,533892.73321347,12099.7569525799,867671.252147422
10,0.271775164447444,-0.00661686341672086,0.000128325855029999,-0.0155666961226322,0.0556962892236036,-0.00019426682450972,5.46745568257832,8.68423246542146,0,0,0,0,0,0,15.5597774441164,11.775747067369,0.0164318993470569,-0.00733715683818877,-0.0197781968142362,0.0214810322369568,-0.00698453402964748,-0.0193365214227183,321899.325248839,522467.935184269,12115.2223764782,856482.482809586
11,0.269281696750868,-0.00611065527417038,0.00024899184016599,-0.0173061062104739,0.0555412033754416,-6.95689681380616e-05,5.43706010177528,8.4245965813118,0,0,0,0,0,0,15.0656326342221,11.4658048242353,0.0164263180664572,-0.00748891248292359,-0.0214232205782012,0.0213987477735433,-0.00715377441510696,-0.020931673111999,321656.674665941,510489.234396753,12132.3157397342,844278.224802428
12,0.266723495709959,-0.005607371103501,0.000383401454837999,-0.0189199924079026,0.0551574994144457,5.79583060006633e-05,5.39126013573969,8.15531253617803,0,0,0,0,0,0,14.5571083002584,11.1409449641071,0.0164202736882754,-0.0076186626060392,-0.0228889894328111,0.0213150645056465,-0.00731260935180591,-0.0223509147443601,320923.862319371,498157.086958869,12151.037042348,831231.986320587
13,0.264123873068263,-0.00511234437602212,0.000526707945071347,-0.0204029416534485,0.0545505731023199,0.000185145796066587,5.33010751949307,7.88047202605109,0,0,0,0,0,0,14.038499814101,10.8034753553175,0.0164137776554068,-0.00772657720206402,-0.0241648211118809,0.0212309620513535,-0.00746087062295706,-0.0235843469544987,319692.394903796,485663.702022452,12171.3862843194,817527.483210568
14,0.261506081464832,-0.00463046010818832,0.000673997336807572,-0.021751761854806,0.0537297596290809,0.000308905860047685,5.25424121931585,7.60388286391146,0,0,0,0,0,0,13.514155044433,10.4558030150764,0.0164067055028324,-0.00781336877249809,-0.0252436603593644,0.0211475526923575,-0.00759880059076001,-0.0246255981672708,317972.361261407,473187.906234592,12193.3634656486,803353.630961647
15,0.258892632582334,-0.00416599714923567,0.000820743804890271,-0.0229657310395465,0.0527078542673255,0.00042650474126287,5.16482805874323,7.32897357706071,0,0,0,0,0,0,12.9883471179377,10.1003460673983,0.0163987664531864,-0.00788021168985386,-0.0261225429932828,0.0210660813529292,-0.00772701517991129,-0.0254722277258029,315790.816491091,460890.919307412,12216.9685863354,788898.704384838
16,0.256304600858434,-0.00372246435611275,0.000963202908177625,-0.0240466951509376,0.0515004074853001,0.000535792378640127,5.06345330332755,7.05872696292531,0,0,0,0,0,0,12.4651320971273,9.73944213330968,0.016389487133225,-0.00792861093194177,-0.0268027717283712,0.0209879121189277,-0.00784643437872017,-0.0261258557628258,313188.631310297,448913.312145735,12242.20164638,774344.145102412
17,0.253762761713613,-0.00330205960187597,0.00109838537016883,-0.0249993589004629,0.050125414326008,0.000635159326132203,4.95209952778294,6.79542531728717,0,0,0,0,0,0,11.9482800937987,9.3757443418838,0.0163786629205117,-0.00796034453487817,-0.0272901493291821,0.0209141086058982,-0.00795819642082429,-0.0265924011237846,310224.760945941,437357.764887645,12269.0626457823,759851.588479368
18,0.251291144438861,-0.0029051036335324,0.00122331215655459,-0.0258321349478549,0.0486037952670293,0.000723035044105503,4.83324636027533,6.54026767662044,0,0,0,0,0,0,11.441388240913,9.01319151049911,0.0163674165586758,-0.00797763571552676,-0.0275957298853858,0.0208444849512919,-0.00806352999771529,-0.026882919312383,306989.534189257,426260.221082281,12297.5515845423,745547.306856081
19,0.248912084709085,-0.00253162741713667,0.00133553313175879,-0.0265562106169762,0.0469572259761673,0.000798228518990831,4.70939515966887,6.29408236743047,0,0,0,0,0,0,10.9476861202096,8.65563349191202,0.0163571063658066,-0.00798284087634621,-0.0277346374007273,0.0207785302862218,-0.00816353288168126,-0.0270123941480537,303577.006403493,415638.02585304,12327.6684626601,731542.700719193
20,0.246644538949549,-0.00218167195933631,0.00143330412951766,-0.0271847852560295,0.045206688087028,0.000860055635489957,4.58286963136891,6.05746755293258,0,0,0,0,0,0,10.4698893416775,8.30640716005747,0.0163490275118186,-0.00797822051348779,-0.0277248906895523,0.0207156526089264,-0.00825900326305856,-0.0269985651257408,300075.054155224,405500.227771411,12359.4132801355,717934.695206771
21,0.244503818106805,-0.00185526811419454,0.00151554105661621,-0.0277324191327498,0.0433716254356075,0.000908316437081235,4.45573123099284,5.83078745817299,0,0,0,0,0,0,10.0101371678917,7.96827571031814,0.0163444018721708,-0.00796579235655169,-0.0275863020681302,0.0206551825732971,-0.00835031640760788,-0.026860851967075,296562.262720534,395847.47812535,12392.7860369687,704802.526882852
22,0.24250162390985,-0.00155242570774219,0.0015817225884317,-0.0282143966855941,0.0414694443403035,0.00094323284872122,4.32973193040519,5.61418471142801,0,0,0,0,0,0,9.56998355856969,7.64341989855597,0.0163443753597403,-0.00794722568561579,-0.0273394162716286,0.0205963804897069,-0.0084373448068907,-0.0266193246827138,293106.169020007,386672.550909686,12427.7867331596,692206.506662852
23,0.240646329114573,-0.00127313193807014,0.00163176478968704,-0.0286461730165648,0.0395152753089361,0.000965362976687336,4.20630050978372,5.40760521904272,0,0,0,0,0,0,9.15043199524884,7.33347109915974,0.0163500208619663,-0.00792377839594406,-0.0270045992661926,0.0205384460856959,-0.00851941966601976,-0.026293824236601,289762.716451229,377961.352738356,12464.4153687081,680188.484558293
24,0.238943412158676,-0.00101735768485875,0.00166589457491294,-0.0290429412876817,0.0375219778795641,0.000975510555621024,4.08655327264245,5.21083234027476,0,0,0,0,0,0,8.7520023150326,7.03957053269179,0.0163623385818528,-0.00789627106977266,-0.0266013383125252,0.0204805355562141,-0.00859532896687193,-0.0259032909495446,286576.545421266,369694.36298559,12502.6719436145,668773.58035047
25,0.237395975770449,-0.000785314674231826,0.00168517431447351,-0.0294192738526608,0.0355001479584206,0.000975023228387459,3.97115503435926,5.02369726526695,0,0,0,0,0,0,8.37506122908206,6.76217070723286,0.0163816081806378,-0.0078649231143045,-0.0261477129403331,0.0204224397264546,-0.00866351698759589,-0.0254651750394212,283570.819690064,361862.453705134,12542.5564578785,657975.829853077
26,0.236005360456559,-0.000577319160807422,0.00169210182641692,-0.0297889392719575,0.0334578893425409,0.000966107170096163,3.86023969424575,4.84624227414457,0,0,0,0,0,0,8.02008278775954,6.50090102633583,0.0164067774508933,-0.00782907932409827,-0.0256600831084449,0.0203652705591405,-0.00872237915280072,-0.0249950545191741,280740.244211526,354479.153673102,12584.0689115002,647803.466796128
27,0.234771541774943,-0.000393022974841575,0.00168943721016531,-0.0301648457028285,0.0314014068952229,0.000951060867645018,3.75378053584921,4.67840835938666,0,0,0,0,0,0,7.68722596697022,6.25516628743046,0.0164366107611693,-0.00778746817849046,-0.0251530336250318,0.0203103090191337,-0.00877016887558539,-0.0245067438934987,278074.007172179,347553.595972372,12627.2093044797,638254.81244903
28,0.233693461102525,-0.000231485469353915,0.00167993938802458,-0.0305581247706304,0.0293348303279674,0.000932041364521926,3.65165808551111,4.52003006363499,0,0,0,0,0,0,7.37636226216375,6.02426580872455,0.0164698565449864,-0.0077389424954039,-0.0246389813533813,0.0202588366793051,-0.00880567852265609,-0.0240119570444259,275559.318239198,341088.653719241,12671.9776368168,629319.949595255
29,0.23276939111583,-9.13185920808547e-05,0.00166627211286021,-0.0309783802060509,0.0272606912767114,0.000911019067009418,3.55368547321958,4.37086840614627,0,0,0,0,0,0,7.08715618735709,5.80743762604808,0.0165052669310457,-0.00768239073316052,-0.0241283671243686,0.0202121290799307,-0.00882813016443817,-0.0235205065855728,273182.199148913,335082.52261453,12718.3739085117,620983.095671954
30,0.231997106820404,2.91942492770115e-05,0.00165091970646042,-0.0314341155807168,0.0251804547898993,0.000889754278685111,3.45963586405087,4.23063196239921,0,0,0,0,0,0,6.81910244109753,5.60388136318925,0.0165416343986906,-0.00761650352493808,-0.0236299257713894,0.0201714250600744,-0.00883689678100233,-0.0230405751493131,270928.506875582,329529.608619103,12766.3981195643,613224.513614249
