U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
0,0.28797185038687,-0.0106836826406024,7.36910790200854e-05,0.00670611119422175,0.0461691481834024,-0.000940224501900574,5.21129349817156,10.0955570127726,1,0,0,0,0,0,0,18.8402954654145,13.5350107215658,0.0163465333427771,-0.00493203806424863,0.00299508045235417,0.0221353184680004,-0.00499666292536246,0.00288597747627727,307572.513632853,592428.781221048,11902.0814939505,911903.376347852
1,0.287402002679456,-0.0104306199953935,5.093481018996e-06,0.00422984133798368,0.0478067622417184,-0.000900402112925316,5.25632878829132,10.0681388440728,1,0,0,0,0,0,0,18.7018817066156,13.5033404790629,0.0163774332369798,-0.00520181025024968,0.000447141257056701,0.0220849834866089,-0.00518697532760622,0.000393738999647623,309518.693030458,590281.322651221,11902.0834024338,911702.099084113
2,0.286549504456752,-0.0101303897477599,-5.65513210700655e-05,0.00176639628589677,0.0493668152014254,-0.000855747093812023,5.30147884921619,10.0153739580189,1,0,0,0,0,0,0,18.5130871706016,13.4351431133164,0.0164018379920717,-0.00546324696893791,-0.00208774400992747,0.0220305741282689,-0.00537409756070347,-0.00208548229037731,311493.215058872,587033.802368918,11902.0896098814,910429.107037671
3,0.285428590808068,-0.00978799517993,-0.000106577305139569,-0.000674498073886657,0.0508255988107572,-0.000803635042645237,5.34538679800298,9.93674299919573,1,0,0,0,0,0,0,18.2765564132203,13.3315118265484,0.0164199940247164,-0.00571224979334989,-0.00459627750809372,0.0219723244701034,-0.00555544502232784,-0.0045381515174148,313450.831640753,582671.413985849,11902.1007910988,908024.346417701
4,0.284055452541136,-0.00940850055343021,-0.000140762004097335,-0.0030828120849016,0.0521604535413784,-0.000741854172690668,5.38643310051355,9.83196514280379,1,0,0,0,0,0,0,17.9951558918477,13.193766060977,0.0164322188239824,-0.0059449798071081,-0.0070641695599052,0.0219104784303165,-0.00572848787808804,-0.00694983087725037,315337.549734198,577189.4702766,11902.1175110122,904429.13752181
5,0.282448495471661,-0.00899685933845625,-0.000155489611231483,-0.00544815485842202,0.0533501363120154,-0.000668692254096549,5.42278791069194,9.70104128294563,1,0,0,0,0,0,0,17.671980671485,13.0235484531487,0.0164389601912566,-0.00615790856989789,-0.00947600427588382,0.0218452393242001,-0.00589080652061908,-0.00930506056099879,317092.914820193,570594.063313828,11902.1401686398,899589.11830266
6,0.280628670680868,-0.00855779772364364,-0.000147947525098819,-0.00775979456591292,0.0543753034394375,-0.000583041749187939,5.45248304595105,9.54430855723907,1,0,0,0,0,0,0,17.3103846018431,12.8229272841539,0.0164408553986164,-0.00634788411064214,-0.0118152417632605,0.0217767213503719,-0.00604016301035787,-0.0115873778692432,318652.969647183,562903.374342196,11902.1689467492,893458.512936128
7,0.278619846753477,-0.00809576931707672,-0.000116353271857732,-0.0100067849442881,0.0552191183950651,-0.000484522116184005,5.47350705283699,9.36250217988753,1,0,0,0,0,0,0,16.9140334003267,12.5944968702307,0.016438786745122,-0.00651221548517426,-0.0140644033117502,0.0217049054373034,-0.00617458634993778,-0.0137795204174379,319953.948704714,554149.568606736,11902.2037732845,886005.721084734
8,0.27644916579626,-0.00761498751045074,-6.0197119853822e-05,-0.0121782266062823,0.0558679713771277,-0.000373610090933802,5.48392479023646,9.1568161536577,1,0,0,0,0,0,0,16.4869741881499,12.3414645717958,0.0164339282953978,-0.0066487766538292,-0.0162054864996578,0.0216296025900695,-0.00629246594577569,-0.0158638583258787,320936.678729033,544381.016056933,11902.244301138,877219.939087104
9,0.274145471284903,-0.0071197846055653,1.95750753629216e-05,-0.0142635646194418,0.0563119859129982,-0.000251727263189803,5.48199737441497,8.9292113026916,1,0,0,0,0,0,0,16.0335342950655,12.0673274770981,0.0164275565237316,-0.00675608963069259,-0.0182205765884802,0.0215505869943063,-0.0063926282002131,-0.0178230183436895,321548.615309961,533679.424251842,11902.2899100301,867130.329471833
