U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop
0,0.307067048549865,-0.0110171001725028,0.000680446200204809,0.00736686168924317,0.0454831087172971,-0.000500927736381079,5.72552342043287,11.0803825758762,-0.126311771321365,0.305756492626418,1,0,0,0,0,20.6840398978657,14.8592280333618,0.0165221038170636,-0.00455744954145558,0.00393459451420774,0.0223444813554832,-0.00520103961127489,0.00303324368887448,300459.079520653,612583.811709779,11902.0814939505,924944.994122779,-0.10164560405161
1,0.306468666492045,-0.0107414829385512,0.000339297555707055,0.00446566337500041,0.0477132314141562,-0.00072163098111415,5.77333237988814,11.0549658927351,1.26898423612653,0.329659260877699,1,0,0,0,0,20.5367507326754,14.828048565722,0.0165499201656656,-0.00497754265932757,0.00125287574072888,0.0222992751347399,-0.00529320763155552,0.00076468305307929,302483.928182017,610530.092323735,11902.0833811548,924954.891363519,18.3394599853305
2,0.305607211832184,-0.0104340058744114,0.000318724686289455,0.0015726786540021,0.0493668168997315,-0.000647370562786913,5.82398264709312,11.005420226461,0.682016129548198,0.333682154379475,1,0,0,0,0,20.3415975835881,14.7622365893424,0.016578135171018,-0.00523831549585797,-0.00121291385921791,0.0222461848373557,-0.0055280631723735,-0.00170426298313246,304685.790184518,607323.620043634,11902.0895426479,923924.743934066,11.6514807222728
3,0.304502535676822,-0.0100827677641431,0.000220780888653871,-0.00129682311073865,0.0507114347802715,-0.000646567536705317,5.87371052632594,10.9332314720222,-0.464410298609577,0.331051431017668,1,0,0,0,0,20.1016643967591,14.6635317292123,0.0166005896365731,-0.00553008233751008,-0.00371569213831826,0.0221915760538354,-0.00571735239460187,-0.00409368451391753,306868.935273461,603170.984793124,11902.1005889022,921947.829505325,-7.50480728227994
4,0.303162818232382,-0.0096983163295693,0.000208839885228923,-0.00413601857753151,0.0522140218948333,-0.000570704610011306,5.92186197416343,10.8372473801039,-0.526469192401416,0.339632175627462,1,0,0,0,0,19.8197877713937,14.5332245749209,0.0166190659856714,-0.00577222260174333,-0.00613989940367188,0.0221329366120974,-0.00593253625139086,-0.00649970003028032,309029.42116171,597971.230756918,11902.117350916,918912.995228279,-11.6541958314053
5,0.301607535341261,-0.00928223744607819,0.000201412322698027,-0.00693393810683817,0.053637608214561,-0.000495732473235952,5.96639196548067,10.7174879542916,-0.453691780340444,0.34829889654007,1,0,0,0,0,19.4990293220594,14.3730610375924,0.0166330255656088,-0.00600231748525248,-0.00852911042259415,0.0220717877333343,-0.00613231764961644,-0.0088535437135448,311089.567651797,591759.756327607,11902.1404168887,914761.403098722,-13.1437718734569
6,0.299854477433316,-0.00883786364738295,0.000152402353701988,-0.00968012970342932,0.0549635647269235,-0.000463898838806579,6.00542361769309,10.5740668591494,-0.342018982110482,0.357012561090807,1,0,0,0,0,19.1427123976161,14.1851759390925,0.0166425312878617,-0.00624076683853426,-0.0109028001161684,0.0220085961028747,-0.00629212290420604,-0.0111101402504244,312983.584290856,584552.94194967,11902.1704440083,909445.725511579,-12.3305905920118
7,0.297901452894369,-0.00837275643230506,0.00020797794554344,-0.0123693221207352,0.057002945732451,-0.000344393658021208,6.03780615450415,10.4083875979829,0.736520724331604,0.374271018543532,1,0,0,0,0,18.7563749574714,13.9735955925588,0.0166476538797377,-0.00641480303537338,-0.0131574253569365,0.0219413678933415,-0.00647668496196314,-0.0133583702998111,314671.193234601,576379.087693711,11902.211087222,902997.05029267,36.2989999563799
8,0.295821982995546,-0.00788924256635225,0.000312267322820037,-0.014983477699923,0.0579242729981586,-0.000190264166003777,6.0610521601918,10.2169284389583,0.626598704556149,0.381285689724577,1,0,0,0,0,18.3379890290924,13.7367370510304,0.0166528993640334,-0.00655128065323851,-0.0153051111854535,0.0218717756019461,-0.00665819976591062,-0.0155335631006484,316110.934928778,567103.616601627,11902.2553111706,895152.768536924,34.4351441188332
9,0.293617753886381,-0.00739248514621857,0.000568911002121064,-0.0175159975231977,0.0587182853640928,8.82656549768558e-05,6.07371274936995,10.002658078545,0.599694753451658,0.388895952310953,1,0,0,0,0,17.8937818831648,13.4795084884174,0.016657563680752,-0.00659795565372929,-0.0172667530836725,0.021798429036359,-0.00688335509887762,-0.0176955567032914,317242.083854651,556837.652658993,11902.3053931832,886018.69736316,36.6741131665518
