delta_e,T_prop,T_rotor
-0.261799387799149,719468.165268665,75436.995066758
-0.258308729295161,717700.540578814,75296.3834877564
-0.254818070791172,715966.423185813,75154.2279439307
-0.251327412287183,714267.140869414,75010.683493668
-0.247836753783195,712647.490582412,74866.0196048871
-0.244346095279206,711081.44446303,74720.2297223311
-0.240855436775217,709549.888153307,74573.3156994356
-0.237364778271229,708053.099659077,74425.3300430867
-0.23387411976724,706590.97329055,74276.3123766706
-0.230383461263251,705164.372307083,74126.2893254699
-0.226892802759263,703773.430202659,73975.2804652027
-0.223402144255274,702418.208489891,73823.2986347562
-0.219911485751285,701098.708351969,73670.3513093905
-0.216420827247297,699814.880212694,73516.4417039269
-0.212930168743308,698566.631650534,73361.5696659532
-0.20943951023932,697351.1074682,73205.686178735
-0.205948851735331,696177.649929911,73050.0183957757
-0.202458193231342,695039.87841318,72893.4425641163
-0.198967534727354,693937.592847939,72735.9465882928
-0.195476876223365,692870.573944524,72577.5178593521
-0.191986217719376,691838.58596479,72418.1435121679
-0.188495559215388,690841.379099916,72257.8106421652
-0.185004900711399,689878.691516947,72096.506488476
-0.18151424220741,688950.251125006,71934.2185892045
-0.178023583703422,688055.777103167,71770.9349134049
-0.174532925199433,687194.98122481,71606.6439735392
-0.171042266695444,686367.569007499,71441.3349215068
-0.167551608191456,685573.240712682,71274.9976308036
-0.164060949687467,684811.692215623,71107.6227669195
-0.160570291183478,684082.615762841,70939.2018477443
-0.15707963267949,683385.700631671,70769.7272954517
-0.153588974175501,682720.633704387,70599.1924810979
-0.150098315671512,682087.099967512,70427.591762974
-0.146607657167524,681484.782945441,70254.9205195947
-0.143116998663535,680913.365076173,70081.1751780592
-0.139626340159546,680372.528035947,69906.3532384216
-0.136135681655558,679861.953018577,69730.4532946033
-0.132645023151569,679381.320974586,69553.4750522996
-0.12915436464758,678930.312814541,69375.4193442767
-0.125663706143592,678508.609580407,69196.2881433824
-0.122173047639603,687157.223488597,68943.4631655243
-0.118682389135614,710236.705734918,68588.2858187637
-0.115191730631626,733254.429252583,68233.6165707174
-0.111701072127637,761522.583789597,67882.9942676714
-0.108210413623648,783491.032199891,67528.6812455913
-0.10471975511966,803511.24729612,67173.6293198863
-0.101229096615671,829306.141366021,66822.8896026164
-0.0977384381116825,855049.824794104,66472.5987631199
-0.0942477796076938,876719.712273895,66120.1762246203
-0.0907571211037051,897330.566004573,65767.5936645562
-0.0872664625997165,921808.571334081,65417.9551600305
-0.0837758040957278,945870.705442408,65068.5193910246
-0.0802851455917392,968521.221181118,64718.6699848221
-0.0767944870877505,992097.104261976,64369.8491984173
-0.0733038285837618,1015847.11431106,64021.5763135857
-0.0698131700797732,1039430.71631633,63673.6338859164
-0.0663225115757845,1063251.15339013,63326.252803426
-0.0628318530717959,1090985.19039316,62981.5757364315
-0.0593411945678072,1114646.77417893,62634.8815894032
-0.0558505360638185,1133488.50318065,62285.804148671
-0.0523598775598299,1156924.9166656,61939.7700061522
-0.0488692190558412,1180268.79487286,61594.0465050103
-0.0453785605518526,1203519.83649978,61248.6215993252
-0.0418879020478639,1227694.31664851,60904.0410257557
-0.0383972435438752,1252717.9480586,60560.2313550292
-0.0349065850398866,1277648.16073269,60216.6548338852
-0.0314159265358979,1298309.56092229,59871.0852982253
-0.0279252680319093,1320162.6120569,59526.4451324195
-0.0244346095279206,1343388.2980498,59182.7850644261
-0.020943951023932,1365292.08332477,58838.6849503257
-0.0174532925199433,1387989.13340777,58495.2126730091
-0.0139626340159546,1409401.7935664,58151.2987153231
-0.010471975511966,1431464.25911404,57807.8884222973
-0.00698131700797732,1453297.20983229,57464.5158322051
-0.00349065850398866,1477677.50685531,57122.4684059094
0,1500542.50776726,56779.7576143032
0.0174532925199433,1602759.38826362,55060.1264832973
0.0349065850398866,1705865.92174679,53329.3632013844
