U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop,T_rotor
71,0.305263492718773,0.000545256539923622,-0.00394705630869466,-0.351414463689574,0.149015618567355,-0.000850014003572702,2.05148116829297,2.18416252380658,0.248465986624492,0.770137290743063,1,-0.349065850398866,0,0,0,2.5283954062504,2.20530859518714,0.0227601408723141,0.179293726896041,-0.12604189638227,0.024278383741062,0.181833590014958,-0.118691632188843,291801.420761394,304895.531845757,11992.5608575567,629149.464195297,112.797148876129,68920.9782149195
71,0.305127774829485,0.000547568142343863,-0.00385810894286256,-0.348704779855707,0.146565869578165,-0.000759602129364726,2.04740553674299,2.18002940520012,0.238715107596572,0.770137290743063,1,-0.345575191894877,0,0,0,2.5231054247027,2.20108677996352,0.022727330064316,0.177386853165008,-0.124868155545976,0.0242448078314945,0.179841562998782,-0.117652196020089,291420.906338436,304483.620345558,11989.5403691396,628026.213260385,108.354316353517,68792.4475140285
71,0.304987356506697,0.00054938606437044,-0.00376994521971336,-0.345994372167154,0.144120138560396,-0.000672368461338765,2.04334735710423,2.17587882355446,0.229136834639816,0.770137290743063,1,-0.342084533390889,0,0,0,2.51783887211899,2.19684922394183,0.0226944325517833,0.17548086588705,-0.123695785557634,0.0242107532894033,0.177851987802146,-0.116612925195904,291042.787205797,304070.725588147,11986.5785095472,626910.167327357,103.991471636832,68663.9209231911
71,0.304842263313032,0.000550728506153873,-0.003682566916663,-0.343283180870371,0.141678448500434,-0.00058821016028672,2.03930584942298,2.17171136178778,0.219732412558678,0.770137290743063,1,-0.3385938748869,0,0,0,2.51259500962921,2.19259648034371,0.0226614419395514,0.173575724654586,-0.122524754714387,0.0241762285332711,0.175864794840833,-0.11557378732684,290666.976618052,303656.911613329,11983.6748249215,625801.363556314,99.7091021976259,68535.3926580694
71,0.304692525136676,0.000551612548506014,-0.00359597620196972,-0.340571149612027,0.139240810242442,-0.000507030478879984,2.03528028643375,2.16752757182965,0.210501244853506,0.770137290743063,1,-0.335103216382911,0,0,0,2.50737314228785,2.18832907214344,0.022628352479672,0.171671388778053,-0.121355032281322,0.0241412417044948,0.173879916464397,-0.114534750367775,290293.393663779,303242.239252809,11980.8288604957,624699.763811478,95.506859269692,68406.8574508696
71,0.304538170610257,0.000552054448730195,-0.00351017511834472,-0.337858224496104,0.136807235372829,-0.000428737102696397,2.03126997237606,2.16332797494541,0.201442731577601,0.770137290743063,1,-0.331612557878923,0,0,0,2.50217259980803,2.18404749242863,0.0225951587302479,0.16976781913005,-0.120186588621204,0.0241058005716381,0.171897287834397,-0.113495783507231,289921.961142271,302826.766112199,11978.0401734817,623605.33031326,91.3843949535699,68278.3101643012
71,0.304379234804309,0.000552069387843191,-0.00342516627364516,-0.335144355011745,0.134377718881832,-0.000353243539895166,2.02727426601611,2.15911306677177,0.192553817437031,0.770137290743063,1,-0.328121899374934,0,0,0,2.49699275869497,2.17975220935459,0.0225618559550636,0.167864975491868,-0.1190193948629,0.0240699127208295,0.169916845326801,-0.112456855825096,289552.607761929,302410.547163923,11975.308315312,622517.928966717,87.3402470184842,68149.7462907639
71,0.304215755336811,0.000551671682965153,-0.00334095251055673,-0.332429493358905,0.131952248128926,-0.000280467945766088,2.02329256556784,2.15488331771452,0.183830275290949,0.770137290743063,1,-0.324631240870945,0,0,0,2.49183302862154,2.17544366657152,0.022528439882198,0.165962817822182,-0.117853423009169,0.0240335854906148,0.167938527144687,-0.111417936886568,289185.266617602,301993.63475234,11972.6328409146,621437.379947961,83.3724238346051,68021.1616796762
71,0.304047738101621,0.000550876191167092,-0.00325753381041457,-0.329713589518621,0.12953088083183,-0.000210325482479675,2.0193241958089,2.15063916085217,0.175277739148879,0.770137290743063,1,-0.321140582366957,0,0,0,2.48669274566715,2.17112227126007,0.0224949048112252,0.16406131771599,-0.116688647064932,0.0239968252408061,0.165962279598466,-0.110379002407904,288819.864219799,301576.077057811,11970.0133821618,620363.892681489,79.4834201495767,67892.5502773938
71,0.3038752073966,0.000549696351275848,-0.00317491178514712,-0.326996598143128,0.12711363128938,-0.000142739033113868,2.01536857000198,2.1463810134128,0.16689559246555,0.770137290743063,1,-0.317649923862968,0,0,0,2.48157132560388,2.16678841526332,0.0224612463492741,0.162160441474024,-0.115525041210602,0.0239596384673972,0.163988047559858,-0.109340025848336,288456.336200492,301157.920759863,11967.4495360622,619297.430643688,75.6728894239327,67763.9074314241
71,0.303698227367413,0.000548143963623346,-0.00309308861814606,-0.324278480977141,0.124700426451819,-7.76379864943703e-05,2.01142523527303,2.14210930790253,0.158670724552079,0.770137290743063,1,-0.314159265358979,0,0,0,2.47646831267302,2.16244250616051,0.0224274622917323,0.160260144486621,-0.11436257669363,0.0239220325090658,0.162015768222008,-0.108300976885029,288094.631595055,300739.214263746,11964.9408229626,618237.744372114,71.9348103677334,67635.2312162462
71,0.303516794748118,0.000546231946694569,-0.0030120653674765,-0.321559193065594,0.122291337291147,-1.49494610302359e-05,2.00749358078118,2.13782439474678,0.150610411381425,0.770137290743063,1,-0.310668606854991,0,0,0,2.47138309024107,2.15808487043259,0.0223935474351842,0.15836040305037,-0.113201231774222,0.0238840126223123,0.160045396819895,-0.107261833768181,287734.684636943,300319.997152819,11962.4869131029,617184.932988822,68.2724297512566,67506.5155339825
71,0.303330918097746,0.000543972200120127,-0.00293184413126766,-0.318838692839257,0.119886406678236,4.53938776706747e-05,2.00357305754116,2.13352661096945,0.142717853070538,0.770137290743063,1,-0.307177948351002,0,0,0,2.46631509714834,2.15371582163106,0.0223594974645449,0.156461190230952,-0.11204098497294,0.0238455841113772,0.158076888007159,-0.106222573446452,287376.436006329,299900.307717238,11960.087454576,616138.935939886,64.687141835306,67377.755233263
71,0.303140617608036,0.000541376013632877,-0.00285242597327129,-0.316116941711886,0.117485653022271,0.000103457659671183,1.99966316262007,2.12921629459865,0.134992655242867,0.770137290743063,1,-0.303687289847013,0,0,0,2.46126381611677,2.14933567477056,0.0223253087603653,0.154562476989601,-0.110881813447787,0.0238067524787478,0.156110194385678,-0.105183173002871,287019.831251853,299480.184332433,11957.7420752968,615099.741214911,61.1787091375296,67248.9460509597
71,0.302945905122121,0.000538454648156161,-0.00277381021550971,-0.31339390140403,0.11508911395475,0.000159308077964081,1.99576338250094,2.12489376916784,0.12743701694037,0.770137290743063,1,-0.300196631343025,0,0,0,2.45622871795197,2.14494473086611,0.0222909774068289,0.152664238257027,-0.109723694509658,0.0237675229107105,0.154145270970556,-0.104143612195194,286664.815327285,299059.66375841,11955.4504234893,614067.526054566,57.748073240555,67120.08332813
71,0.3027468031232,0.000535218231679422,-0.0026959985538317,-0.310669536892144,0.11269679973797,0.000213004149695292,1.99187326683876,2.12055933792253,0.120049237423331,0.770137290743063,1,-0.296705972839036,0,0,0,2.4512093295059,2.14054327120057,0.0222565003747757,0.150766445380202,-0.108566606856268,0.0237279005433185,0.152182073267696,-0.103103868642779,286311.33963889,298638.780795152,11953.2121307521,613042.188192862,54.3944065538142,66991.1632594287
71,0.302543333026673,0.000531676492746778,-0.00261899255258602,-0.307943814460366,0.110308722098122,0.000264602768326543,1.98799238083006,2.1162132892252,0.1128277450142,0.770137290743063,1,-0.293215314335047,0,0,0,2.44620519023855,2.13613156268215,0.0222218747677031,0.148869070723999,-0.107410529788534,0.023687890317707,0.150220558346103,-0.102063920726303,285959.357443874,298217.568685077,11951.026835041,612023.634139372,51.1169422844763,66862.1821097646
71,0.302335512863698,0.000527838904270734,-0.00254279321016139,-0.305216701275948,0.107924899859225,0.000314159636049263,1.98412029591258,2.11185589764116,0.105771882249044,0.770137290743063,1,-0.289724655831059,0,0,0,2.44121584361545,2.13170985889319,0.022187097675092,0.146972088515717,-0.10625544307993,0.0236474969525268,0.148260685043299,-0.101023748095787,285608.822948429,297796.05920247,11948.8941843879,611011.829406352,47.9153305020261,66733.1360612922
71,0.30212335084456,0.000523714743444314,-0.00246740159587149,-0.302488164554784,0.105545371790761,0.000361728600748648,1.98025657655617,2.10748741457092,0.0988837310575354,0.770137290743063,1,-0.28623399732707,0,0,0,2.43624082261379,2.1272783906884,0.0221521659147215,0.145075476283124,-0.105101328089974,0.0236067247325815,0.146302415895274,-0.0999833318414466,285259.690044643,297374.281708431,11946.8138475529,610006.756853904,44.7904655592067,66604.0208197723
71,0.301906873049464,0.000519312518847292,-0.00239281867914987,-0.299758175112066,0.103170137829376,0.00040736078876508,1.97640084897631,2.10310809733992,0.0921598150312128,0.770137290743063,1,-0.282743338823081,0,0,0,2.43127972046786,2.12283739533536,0.0221170772895579,0.143179207129668,-0.103948164806358,0.0235655782998872,0.144345710194505,-0.0989426518110281,284911.918824301,296952.266206677,11944.7854639712,609008.34294427,41.7407218295781,66474.8333363672
71,0.301686099434827,0.000514640403288509,-0.00231904616643713,-0.297026704268561,0.100799209122602,0.000451104509783294,1.97255274366327,2.0987181815053,0.0855981933356708,0.770137290743063,1,-0.279252680319093,0,0,0,2.42633213099344,2.11838708879172,0.022081829524589,0.141283256049672,-0.102795934909311,0.0235240619405655,0.142390530369595,-0.0979016884227144,284565.4700844,296530.040468024,11942.8086877871,608016.456831525,38.7651725938622,66345.5703101754
71,0.301461042080012,0.000509706714903421,-0.00224608369446331,-0.294293723233757,0.0984326158394183,0.00049300984096748,1.96871187493412,2.0943178955135,0.0791994811141129,0.770137290743063,1,-0.275762021815104,0,0,0,2.42139763191642,2.11392768023788,0.0220464199956088,0.139387601816515,-0.101644619742547,0.0234821797158754,0.14043684048177,-0.0968604247680084,284220.303393535,296107.631418742,11940.8831890346,607031.187310267,35.8640518546925,66216.2280543234
71,0.301231716174752,0.00050451920393588,-0.0021739319873502,-0.291559204865137,0.096070379224384,0.00053312320826342,1.96487788588676,2.08990745433199,0.0729629926420113,0.770137290743063,1,-0.272271363311115,0,0,0,2.41647582620259,2.10945936581875,0.02201084644013,0.137492222253084,-0.10049420163045,0.0234399355805263,0.138484605592987,-0.0958188432899175,283876.381336152,295685.064651289,11939.0086346517,606052.500916977,33.0370051523917,66086.8032085688
71,0.300998136411745,0.00049908532663911,-0.00210259172120314,-0.288823123011552,0.0937125209783758,0.000571489459517608,1.96105043212745,2.08548706298503,0.0668880362286429,0.770137290743063,1,-0.268780704807127,0,0,0,2.41156632734489,2.10498233212436,0.0219751067067145,0.135597095808162,-0.0993446633426887,0.0233973333596423,0.136533791839803,-0.0947769269172439,283533.667955189,295262.364730658,11937.1846944732,605080.364375315,30.2836768727155,65957.2924997907
71,0.300760317006732,0.000493412259682781,-0.00203206352602068,-0.286085452470687,0.091359063250685,0.000608151943927563,1.95722918124957,2.08105691711651,0.0609739141324628,0.770137290743063,1,-0.265290046303138,0,0,0,2.40666875896956,2.10049675673965,0.0219391987496831,0.13370220152948,-0.0981959880754823,0.0233543767553707,0.134584366384428,-0.0937346590436885,283192.128689842,294839.555253753,11935.4110409782,604114.744589898,27.6037101771706,65827.6927407018
71,0.300518271717255,0.00048750691367598,-0.00196234798746531,-0.283346168948823,0.0890100286316063,0.000643152586806909,1.95341381234397,2.07661720351827,0.0552199224801278,0.770137290743063,1,-0.261799387799149,0,0,0,2.40178275446542,2.0960028087602,0.0219031206241526,0.131807519038266,-0.0970481594339141,0.0233110693530821,0.132636297368592,-0.0926920235081764,282851.730317023,294416.658905045,11933.6873490531,603155.608640234,24.9967469359997,65698.0008286258
71,0.300270796103408,0.000480284686825871,-0.00189477262932039,-0.280604379467119,0.0866648379242443,0.000674019841323679,1.94964173997042,2.0721272127286,0.0496239266461528,0.770137290743063,1,-0.258308729295161,0,0,0,2.3969366598855,2.09146010697929,0.0218672981262033,0.129912752349518,-0.0958995489640683,0.0232669247972225,0.130690802287783,-0.0916479285890739,282515.880289906,293989.767146125,11932.0146286648,602202.384678282,22.4617872593137,65568.1724872273
71,0.300000065408345,0.000455825078825756,-0.00184914970290184,-0.277846944571422,0.0843145502777897,0.000664229624669369,1.94646325358985,2.06699075920954,0.0441647055382123,0.770137290743063,1,-0.254818070791172,0,0,0,2.39254921300946,2.08627749383585,0.0218379713230924,0.12801377815109,-0.0947260875585677,0.0232147967265116,0.128765982862642,-0.0905861688407863,282234.634475504,293501.718284906,11930.4111833227,601247.250362749,19.9892434061922,65437.6019871023
71,0.299727470251031,0.000434324683523457,-0.00180103000497562,-0.275085043098805,0.0819684831123551,0.000660484774541661,1.94318067366889,2.06196538584927,0.0388641862929655,0.770137290743063,1,-0.251327412287183,0,0,0,2.38808976250123,2.08120610001482,0.021807230815224,0.126116026239481,-0.0935499748120918,0.0231637552639221,0.126838889811274,-0.0895192795202462,281944.320966492,293025.416627408,11928.8503556228,600300.178756734,17.5889187968987,65307.0729596824
71,0.299459827689352,0.000425929960338402,-0.00173645271918102,-0.272307937778445,0.0796250857417062,0.000686574489011146,1.93944578560986,2.05743329551194,0.0337183092058981,0.770137290743063,1,-0.247836753783195,0,0,0,2.38329396297433,2.07662489491731,0.0217711205829352,0.124223762431628,-0.0923562614116309,0.0231183772474799,0.124899012229856,-0.0884282608723315,281613.428493466,292597.316157315,11927.3160686286,599365.97416315,15.2589199649167,65177.0717702545
71,0.299188218132847,0.000417390764345537,-0.00167270814586636,-0.269529297690859,0.077286068052938,0.00071131493869274,1.93571357927198,2.05289485343915,0.0287301557203035,0.770137290743063,1,-0.244346095279206,0,0,0,2.37850687135272,2.07203844376239,0.0217348110035318,0.122331572326354,-0.0911636421548333,0.0230726919242582,0.122960237122742,-0.087337071283321,281283.349848279,292169.481117315,11925.8303361086,598438.203834851,13.000661953745,65046.9737391726
71,0.298912649986872,0.000408712335574767,-0.00160979683931857,-0.266749104416287,0.0749514590738153,0.000734736556520235,1.93198379637611,2.04835017841425,0.0238990186836006,0.770137290743063,1,-0.240855436775217,0,0,0,2.37372816982774,2.06744684977933,0.0216983006680873,0.120439440909058,-0.0899721023583755,0.0230267020539102,0.12102254039208,-0.0862456967884476,280954.059959481,291741.926109684,11924.3928633724,597516.834583843,10.8137932424067,64916.7759587497
71,0.29863313136605,0.000399899770185508,-0.00154771929803002,-0.263967340163137,0.0726212881989987,0.000756868925429032,1.92825618590684,2.04379938524586,0.0192241831298049,0.770137290743063,1,-0.237364778271229,0,0,0,2.36895754719603,2.06285021248508,0.0216615882238743,0.118547353550573,-0.0887816276541522,0.022980410335828,0.119085898536287,-0.0851541237611419,280625.534620323,291314.665323274,11923.0033560019,596601.833362641,8.69796005627055,64786.4756023099
71,0.298349670101157,0.000390958026588623,-0.00148647596594565,-0.261183987744294,0.0702955851870473,0.000777740815355383,1.92453050388356,2.0392425850055,0.0147049262350593,0.770137290743063,1,-0.23387411976724,0,0,0,2.36419469868131,2.05824862791359,0.0216246723721094,0.116655295993036,-0.0875922039780875,0.022933819411905,0.117150288626481,-0.0840623389017169,280297.750460505,290887.712557679,11921.6615197304,595693.167258721,6.65280632470278,64656.0699233733
71,0.298062273745488,0.000381891931238639,-0.00142606723362512,-0.258399030554424,0.0679743801576367,0.00079738021833038,1.92080651314318,2.0346798852523,0.0103405172751361,0.770137290743063,1,-0.230383461263251,0,0,0,2.35943932576488,2.05364218883258,0.0215875518658175,0.11476325433643,-0.0864038175594564,0.0228869318691445,0.11521568828407,-0.082970329226611,279970.684919311,290461.081246016,11920.3670603287,594790.803489079,4.67797363994739,64525.5562548722
71,0.297770949580723,0.000372706184114199,-0.001366493439325,-0.255612452548239,0.0656577035889822,0.000815814381781282,1.9170839831341,2.03011139024551,0.00613021758491128,0.770137290743063,1,-0.226892802759263,0,0,0,2.35469113602435,2.04903098494835,0.0215502255078111,0.11287121502573,-0.0852164549106841,0.0228397502421247,0.113282075659414,-0.0818780820581602,279644.316220067,290034.784476379,11919.1196834972,593894.709394876,2.7731012172993,64394.9320083954
71,0.297475704622325,0.00036340536390731,-0.00130775487000656,-0.252824238219653,0.0633455863154603,0.000833069840148238,1.91336268972046,2.02553720114555,0.00207328051969872,0.770137290743063,1,-0.223402144255274,0,0,0,2.3499498429802,2.04441510309928,0.021512692148774,0.110979164838651,-0.0840301028175979,0.0227922770153287,0.111349429411519,-0.0807855850148665,279318.623345826,289608.835012061,11917.9190947628,593004.852436177,0.93782585630726,64264.1946734602
71,0.297176545624491,0.000353993932937956,-0.00124985176227297,-0.250034372581768,0.0610380595254112,0.000849172444915452,1.90964241499623,2.02095741620435,-0.00183104858160575,0.770137290743063,1,-0.219911485751285,0,0,0,2.34521516594947,2.03979462743889,0.0214749506854459,0.109087090873932,-0.0828447483301019,0.0227445146253466,0.109417728688671,-0.0796928260021318,278993.586016206,289183.245310623,11916.7649993831,592121.200818291,-0.828209713632086,64133.3418168098
71,0.29687347908469,0.000344476241809745,-0.00119278430324071,-0.24724284114766,0.0587351547591232,0.000864147393151357,1.90592294710848,2.01637213094543,-0.00558353243155899,0.770137290743063,1,-0.216420827247297,0,0,0,2.34048682990647,2.0351696396089,0.0214370000589003,0.107194980540144,-0.0816603787532522,0.0226964654629578,0.107486953109987,-0.0785997932034334,278669.184665325,288758.027541849,11915.657102254,591243.720960709,-2.52539040283172,64002.371081732
71,0.296566511247795,0.000334856533822701,-0.00113655263134893,-0.244449629911892,0.0564369039069793,0.000878019254642262,1.90220408008926,2.0117814383345,-0.00918494182761456,0.770137290743063,1,-0.212930168743308,0,0,0,2.33576456534979,2.0305402189029,0.0213988392529101,0.105302821544988,-0.0804769816387078,0.0226481318751003,0.1055570827478,-0.077506475071911,278345.400420744,288333.193604689,11914.5951078232,590372.381280841,-4.15407849745961,63871.2801874008
71,0.296255648109838,0.000325138949156648,-0.00108115683711007,-0.241654725332738,0.0541433392077692,0.000890811997702452,1.89848561369564,2.00718542894102,-0.0126360556837603,0.770137290743063,1,-0.20943951023932,0,0,0,2.33104810817544,2.02590644242124,0.0213604672923976,0.103410601885041,-0.079294544776537,0.0225995161667333,0.103628098110858,-0.0764128603223464,278022.215083379,287908.755143212,11913.5787200077,589507.149663315,-5.71464722727272,63740.0669282365
71,0.295940895421417,0.000315327528838878,-0.00102659696380611,-0.238858114315047,0.0518544932471513,0.000902549013736046,1.89476735325735,2.00258419109118,-0.0159376610607281,0.770137290743063,1,-0.205948851735331,0,0,0,2.32633719955571,2.02126838521758,0.021321883241961,0.10151830983595,-0.0781130561873586,0.0225506206026002,0.101699980128261,-0.0753189379235092,277699.611108314,287484.723561658,11912.6076421163,588647.994086485,-7.20747241609758,63608.7291732849
71,0.295622258690748,0.000305426218506981,-0.00097287300813248,-0.236059784193739,0.0495703989562605,0.000913253140619945,1.89104910953169,1.99797781101297,-0.0190905531944832,0.770137290743063,1,-0.202458193231342,0,0,0,2.32163158582334,2.01662612043753,0.0212830862044757,0.0996259339430248,-0.0769325041147977,0.0225014474088946,0.0997727101341252,-0.0742246970908507,277377.571586462,287061.110038614,11911.6815767757,587794.882617578,-8.63293251473278,63477.2648656119
71,0.295299743186407,0.00029543887198043,-0.000919984920793703,-0.233259722717872,0.047291089610459,0.000922946684975666,1.88733069856514,1.9933663729735,-0.0220955355233073,0.770137290743063,1,-0.198967534727354,0,0,0,2.31693101836089,2.01197971944995,0.0212440753197645,0.0977334630122203,-0.0757528770182418,0.0224519987748394,0.0978462698529029,-0.0731301272795249,277056.080227029,286637.925540377,11910.8002258604,586947.78340791,-9.99140863302164,63345.6720217141
71,0.294973353939755,0.000285369254649084,-0.000867932607052613,-0.230457918035262,0.045016598828218,0.000931651443391339,1.88361194156142,1.98874995940924,-0.0249534197133761,0.770137290743063,1,-0.195476876223365,0,0,0,2.31223525349473,2.00732925197108,0.0212048497633334,0.0958408861014819,-0.0745741635658766,0.0224022768541786,0.0959206413853498,-0.0720352181777199,276735.12134073,286215.180833541,11909.9632904268,586106.664688141,-11.2832845710795,63213.9487309429
71,0.294643096066416,0.000275221043936779,-0.000816715878576822,-0.227654358716578,0.0427469599398795,0.000939388775149287,1.87989266534651,1.98412865147434,-0.0276651118340167,0.770137290743063,1,-0.191986217719376,0,0,0,2.30754405308704,2.00267478661452,0.0211654087572399,0.0939481924574419,-0.0733963525492383,0.0223522837766001,0.0939958070987432,-0.0709399596948086,276414.679877265,285792.886537822,11909.1704704192,585271.498778126,-12.5089857882281,63082.0931727481
71,0.294308973881782,0.000264997839826137,-0.000766334589251851,-0.224849033633662,0.0404822077351381,0.000946179474792685,1.87617270060885,1.97950252796667,-0.030231373062385,0.770137290743063,1,-0.188495559215388,0,0,0,2.3028571825162,1.99801638979151,0.0211257515354575,0.0920553716606656,-0.0722194330960564,0.0223020216211597,0.0920717498825568,-0.0698443419707056,276094.74126113,285371.053022273,11908.4214652805,584442.250935809,-13.6688712604363,62950.1035665363
71,0.293970991624125,0.000254703161884697,-0.000716788525102908,-0.22204193203198,0.0382223770402062,0.000952043911153115,1.87245188311807,1.97487166642144,-0.032653014740616,0.770137290743063,1,-0.185004900711399,0,0,0,2.2981744121461,1.9933541268147,0.0210858773700342,0.090162413492562,-0.0710433944847215,0.0222514924404196,0.0901484529161811,-0.06874835535713,275775.291498117,284949.690510835,11907.7159733185,583618.888430281,-14.7633216727075,62817.9782116841
71,0.293629153394687,0.00024434045239657,-0.000668077414252505,-0.219233043510381,0.0359675028372399,0.000957002033987017,1.86873005350274,1.97023614312503,-0.0349308817141198,0.770137290743063,1,-0.18151424220741,0,0,0,2.29349551710573,1.98868806190555,0.0210457855677536,0.0882693079390379,-0.0698682261539987,0.0222006982596147,0.0882258996765386,-0.0676519904132962,275456.317150772,284528.809083302,11907.0536917199,582801.379764432,-15.7927319030311,62685.715483456
71,0.293283463065513,0.00023391307976217,-0.000620200941525284,-0.216422357996744,0.0337176204477629,0.000961073375281884,1.86500705697277,1.96559603308889,-0.0370658271637341,0.770137290743063,1,-0.178023583703422,0,0,0,2.28882027700126,1.98401825816094,0.0210054754656232,0.0863760451995292,-0.0686939177203521,0.0221496410748439,0.0863040739550184,-0.0665552379021913,275137.80530912,284108.418672508,11906.4343165722,581989.693497453,-16.7574996650108,62553.3138272576
71,0.292933924280303,0.000223424340983756,-0.000573158748770908,-0.213609865735293,0.0314727655322588,0.000964277065277506,1.86128274321897,1.96095141014385,-0.0390587126232168,0.770137290743063,1,-0.174532925199433,0,0,0,2.2841484758337,1.97934477764224,0.0209649464299339,0.084482615680153,-0.0675204589723782,0.0220983228541412,0.0843829598465804,-0.0654580887854415,274819.743577588,283688.529073065,11905.857542815,581183.798240327,-17.6580255348947,62420.7717581186
71,0.292580540455061,0.000212877464028274,-0.000526950435156736,-0.210795557274266,0.0292329740898659,0.000966631847774543,1.85755696631679,1.95630234702943,-0.0409104079955622,0.770137290743063,1,-0.171042266695444,0,0,0,2.27947990191974,1.97466768145964,0.0209241978553635,0.0825890099871056,-0.0663478398654303,0.0220467455384878,0.0824625417392869,-0.0643605342183868,274502.120062426,283269.149949589,11905.3230641956,580383.662651355,-18.494712977929,62288.0878601825
71,0.292223314778512,0.000202275610072359,-0.00048157555743111,-0.207979423453939,0.0269982824581768,0.00096815609476869,1.8538295846341,1.95164891547847,-0.0426217915680025,0.770137290743063,1,-0.167551608191456,0,0,0,2.27481434781572,1.96998702985183,0.0208832291641216,0.0806952189202978,-0.0651760505164252,0.0219949110427697,0.0805428043042441,-0.0632625655453575,274184.923359607,282850.290844415,11904.8305732263,579589.255431703,-19.2679683741348,62155.2607862003
71,0.291862250212329,0.00019162187563519,-0.000437033630158895,-0.205161455394964,0.0247687273131357,0.000968867820444362,1.85010046074284,1.94699118629716,-0.0441937500259312,0.770137290743063,1,-0.164060949687467,0,0,0,2.27015161024437,1.96530288226127,0.0208420398051348,0.0788012334672098,-0.0640050811988207,0.0219428212566814,0.0786237324859302,-0.0621641742951387,273868.142543168,282431.961184841,11904.3797611441,578800.545320972,-19.9782010434677,62022.2892570304
71,0.291497349491154,0.000180919294604485,-0.000393324125931401,-0.202341644487021,0.0225443456690332,0.000968784694561322,1.84636946133423,1.94232922944088,-0.0456271784656075,0.770137290743063,1,-0.160570291183478,0,0,0,2.26549149002433,1.96061529740524,0.020800629253269,0.0769070447969575,-0.0628349223377576,0.0218904780455808,0.0767053114928917,-0.0610653521766139,273551.767153984,282014.170289906,11903.9703178727,578017.501092799,-20.62582327041,61889.1720611405
71,0.291128615122434,0.000170170840162881,-0.000350446475551107,-0.199519982377765,0.0203251748785959,0.000967924055265926,1.84263645713746,1.93766311408585,-0.0469229804057958,0.770137290743063,1,-0.15707963267949,0,0,0,2.26083379200223,1.95592433334298,0.0207589970085877,0.0750126442545605,-0.0616655645053561,0.0218378832512958,0.0747875267887873,-0.0599660910745804,273235.787188941,281596.927376755,11903.6019319867,577240.091550471,-21.211250328033,61755.9080541137
71,0.290756049386081,0.000159379426616069,-0.000308400068193413,-0.196696460962038,0.0181112526331684,0.000966302921354899,1.83890132284155,1.93299290869691,-0.0480820677982516,0.770137290743063,1,-0.153588974175501,0,0,0,2.25617832498719,1.95123004753891,0.0207171425956444,0.0731180233553971,-0.0604969984161591,0.0217850386928852,0.072870364083765,-0.0588663830457257,272920.193090483,281180.241566577,11903.2742906774,576468.285522561,-21.7349005014243,61622.496158157
