U,delta_e,power
0,-0.261799387799149,947833.019054769
5,0.0174532925199433,915586.269132363
10,-0.00147492612844591,890932.73845236
15,0.0174532925199433,801755.021590269
20,-0.261799387799149,727238.156749306
25,-0.261799387799149,669520.366652449
30,-0.261799387799149,631664.572851357
35,-0.261799387799149,611524.033479533
40,-0.261799387799149,606394.164827621
45,-0.261799387799149,580157.302372959
50,-0.222132813890187,555098.700064389
55,-0.171828893963949,552749.348734057
60,-0.150196644080075,553674.240768338
65,-0.136676487902655,558587.001214232
70,-0.128564394196202,569155.018870856
75,-0.123156331725234,578605.652260857
80,-0.12045230048975,596095.343618805
85,-0.117748269254265,611026.940987815
90,-0.12045230048975,629705.454552404
95,-0.12045230048975,651730.329142063
100,-0.125860362960718,678531.594014046
