U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop
0,0.287963100963658,-0.0107067052662207,0.000598607511623537,0.0066993873949611,0.0460949361127191,-0.000453713371878853,5.21510705975408,10.0917380928509,-0.126311771321347,0.305756492626418,1,0,0,0,0,18.8389534851028,13.5337087522886,0.0163571490121869,-0.00469689265367729,0.00338071342958226,0.0221244020042983,-0.00522185344696168,0.002494447929218,307806.42382858,592042.753836024,11902.0814939505,947833.019054768,-0.101645604056459
5,0.282450239853015,-0.0090065806142079,0.000152927823540738,-0.00536176017238645,0.0530663093228417,-0.000401393615491823,5.42409450716807,9.69834450612054,-0.293887577946377,0.349656131178523,1,0,0,0,0,17.6698955088839,13.0216565052041,0.0164435937104525,-0.00608628227554097,-0.00920797050231565,0.0218402536382788,-0.00608817462953884,-0.00949382287642653,317184.345949991,570378.715198576,11902.1389778025,915586.269132082,-8.81276424727411
10,0.271721849119013,-0.00662590267284558,0.000638419144636124,-0.0162734589343141,0.0571446875207496,0.000332171885707667,5.46760320998543,8.68242456957844,0.517497336720555,0.395867618970453,1,0,0,0,0,15.5578800284595,11.7740343128071,0.0164232961405642,-0.0065916075035271,-0.0197188350263405,0.0214634573173568,-0.00668460327962491,-0.0200350914235656,321815.576449661,522097.610241221,11902.3410552459,890932.738452361,34.6735012421228
15,0.258642675152799,-0.00415168729485822,0.00109560137688597,-0.0242095759038414,0.0559652321139764,0.000776882464068425,5.16131718014196,7.32955064021592,0.887987234360985,0.439473529971567,1,0,0,0,0,12.9855034269119,10.0990518292134,0.0163576976883093,-0.006840366897367,-0.0265212630137597,0.0210337935120791,-0.00693200784418949,-0.026277900005347,315286.593140173,460494.040437247,11902.6326123704,801755.02159027,89.8753942817919
20,0.246676345108527,-0.00210301979278421,0.00159490935823833,-0.0351197538803871,0.0532821310093758,0.00162723309230212,4.57645985333956,6.0691743728816,0.259049605133146,0.468722330338366,1,0,0,0,0,10.4748919748235,8.3149834146068,0.0162751874633453,-0.00210395845586673,-0.0312320105891923,0.0207049922074215,-0.0025529468644772,-0.0307310902669663,299183.608716309,405864.693639707,11902.9398876499,727238.156749355,33.4330383614051
25,0.236463590525992,-0.000578497879449532,0.00188250142467773,-0.0387293277429145,0.0496740152026818,0.00177195897695428,3.94740220399617,5.03421962067989,1.64957695113476,0.516231852727388,1,0,0,0,0,8.36030661659696,6.76220449858716,0.0161899495965377,-0.000848024741200254,-0.0303927982321689,0.0203818406008558,-0.00191163735517308,-0.0299639090242871,281362.297324037,362031.334272258,11903.2350677517,669520.366652436,280.037739803138
30,0.22956326181244,0.000406932040118134,0.00194817535645722,-0.0415915225729403,0.0456864831446542,0.00172235449119424,3.41273316832438,4.23552973452627,2.63248461287802,0.559869451916247,1,0,0,0,0,6.77556154526132,5.58993887511934,0.0161841556660112,0.000381690130090283,-0.0283377998261146,0.0200842150780147,-0.00131920347789562,-0.0281320386157118,267111.534995662,329285.789135736,11903.4809296124,631664.572851384,547.232461290191
35,0.225535197544552,0.00101847106505124,0.00203276450018287,-0.044516524241141,0.041590977525052,0.00169406026524574,2.97332301150526,3.64312173456676,3.41660200073938,0.600767227356642,1,0,0,0,0,5.64775896074078,4.70957487116102,0.0161514556707249,0.00153189965283327,-0.0262141526684673,0.0199041433961164,-0.000840491262042396,-0.026302094096847,255909.689981392,306930.979207125,11903.6503432105,611524.033479625,836.133919213569
40,0.223175302545207,0.0014661529621664,0.00217889396544751,-0.0475063004457895,0.0371497896682987,0.00170783688330599,2.62213815370696,3.19366219127606,4.09428607530055,0.640896064561492,1,0,0,0,0,4.73847428015903,3.96971338279484,0.0161036028451749,0.00264044121857727,-0.0240516862447695,0.0197920113894049,-0.000470645387744614,-0.0245076986084348,247959.45578255,291668.247438763,11903.6987298153,606394.164827679,1150.08760212677
45,0.230761810179645,0.00137576849494933,0.00155552418320937,-0.0741492151002211,0.0323319114261193,0.00210263388075334,2.43811627397964,2.89886639721231,1.87823724623037,0.647278985167705,1,0,0,0,0,4.08992613203339,3.41045463270564,0.0169124033351225,0.018175367111534,-0.0318812882826227,0.020260691807745,0.0154402004106589,-0.031565033349955,249798.882095193,286143.638716476,11903.5706709804,580157.302372959,560.924602274962
