delta_e,power_total,T_rotor
-0.34906585,892208.7041,53979.57086
-0.345575192,892195.8675,53979.13069
-0.342084533,892183.0313,53978.69051
-0.338593875,892170.1957,53978.25032
-0.335103216,892157.3604,53977.81014
-0.331612558,892144.5257,53977.36996
-0.328121899,892131.6914,53976.92978
-0.324631241,892118.8575,53976.4896
-0.321140582,892106.0242,53976.04941
-0.317649924,892093.1912,53975.60923
-0.314159265,892080.3588,53975.16904
-0.310668607,892067.5268,53974.72886
-0.307177948,892054.6953,53974.28867
-0.30368729,892041.8642,53973.84848
-0.300196631,892029.0336,53973.4083
-0.296705973,892016.2035,53972.96811
-0.293215314,892003.3738,53972.52792
-0.289724656,891990.5446,53972.08773
-0.286233997,891977.7158,53971.64754
-0.282743339,891964.8875,53971.20735
-0.27925268,891952.0597,53970.76716
-0.275762022,891939.2323,53970.32696
-0.272271363,891926.4054,53969.88677
-0.268780705,891913.579,53969.44658
-0.265290046,891900.753,53969.00639
-0.261799388,891887.9275,53968.56619
-0.258308729,891875.1024,53968.126
-0.254818071,891862.2778,53967.6858
-0.251327412,891849.4537,53967.2456
-0.247836754,891836.63,53966.80541
-0.244346095,891823.8068,53966.36521
-0.240855437,891810.9841,53965.92501
-0.237364778,891798.1618,53965.48481
-0.23387412,891785.34,53965.04461
-0.230383461,891772.5187,53964.60442
-0.226892803,891759.6978,53964.16421
-0.223402144,891746.8773,53963.72401
-0.219911486,891734.0574,53963.28381
-0.216420827,891721.2379,53962.84361
-0.212930169,891708.4188,53962.40341
-0.20943951,891695.6003,53961.9632
-0.205948852,891682.7822,53961.523
-0.202458193,891669.9645,53961.0828
-0.198967535,891657.1473,53960.64259
-0.195476876,891644.3306,53960.20239
-0.191986218,891631.5143,53959.76218
-0.188495559,891618.6985,53959.32197
-0.185004901,891605.8832,53958.88177
-0.181514242,891593.0683,53958.44156
-0.178023584,891580.2539,53958.00135
-0.174532925,891567.44,53957.56114
-0.171042267,891554.6265,53957.12093
-0.167551608,891541.8135,53956.68072
-0.16406095,891529.0009,53956.24051
-0.160570291,891516.1888,53955.8003
-0.157079633,891503.3772,53955.36009
-0.153588974,891490.566,53954.91988
-0.150098316,891477.7553,53954.47967
-0.146607657,891464.9451,53954.03945
-0.143116999,891452.1353,53953.59924
-0.13962634,891439.326,53953.15902
-0.136135682,891426.5172,53952.71881
-0.132645023,891413.7088,53952.27859
-0.129154365,891400.9009,53951.83838
-0.125663706,891388.0934,53951.39816
-0.122173048,891375.2864,53950.95795
-0.118682389,891362.4799,53950.51773
-0.115191731,891349.6738,53950.07751
-0.111701072,891336.8682,53949.63729
-0.108210414,891324.0631,53949.19707
-0.104719755,891311.2584,53948.75685
-0.101229097,891298.4542,53948.31663
-0.097738438,891285.6505,53947.87641
-0.09424778,891272.8472,53947.43619
-0.090757121,891260.0444,53946.99597
-0.087266463,891247.242,53946.55575
-0.083775804,891234.4401,53946.11553
-0.080285146,891221.6387,53945.6753
-0.076794487,891208.8377,53945.23508
-0.073303829,891196.0372,53944.79486
-0.06981317,891183.2372,53944.35463
-0.066322512,891170.4376,53943.91441
-0.062831853,891157.6385,53943.47418
-0.059341195,891144.8399,53943.03395
-0.055850536,891132.0417,53942.59373
-0.052359878,891119.244,53942.1535
-0.048869219,891106.4467,53941.71327
-0.045378561,891093.6499,53941.27305
-0.041887902,891080.8536,53940.83282
-0.038397244,891068.0578,53940.39259
-0.034906585,891055.2624,53939.95236
-0.031415927,891042.4674,53939.51213
-0.027925268,891029.673,53939.0719
-0.02443461,891016.879,53938.63167
-0.020943951,891004.0854,53938.19144
-0.017453293,890991.2924,53937.7512
-0.013962634,890978.4998,53937.31097
-0.010471976,890965.7076,53936.87074
-0.006981317,890952.9159,53936.43051
-0.003490659,890940.1247,53935.99027
0,890927.334,53935.55004
0.003490659,892892.1039,53934.99748
0.006981317,894880.6835,53934.44499
0.010471976,896865.3106,53933.89256
0.013962634,897788.5913,53933.3402
0.017453293,898700.1494,53932.7879
0.020943951,899608.9631,53932.23566
0.02443461,900516.136,53931.68344
0.027925268,901420.5732,53931.13136
0.031415927,902325.3969,53930.5793
0.034906585,902588.1085,53930.0273
0.038397244,901584.3885,53929.47533
0.041887902,900560.4417,53928.9234
0.045378561,899525.4878,53928.37154
0.048869219,898493.2269,53927.81972
0.052359878,897463.5714,53927.26794
0.055850536,896456.3369,53926.71624
0.059341195,895517.7126,53926.16458
0.062831853,894449.133,53925.61296
0.066322512,893471.8362,53925.0614
0.06981317,892497.2189,53924.5099
0.073303829,891525.0581,53923.95844
0.076794487,890555.394,53923.40704
0.080285146,889588.2016,53922.85569
0.083775804,888625.7873,53922.30439
0.087266463,887673.2293,53921.75314
