U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop,T_rotor
0,0.287963100963658,-0.0107067052662207,0.000598607511623537,0.0066993873949611,0.0460949361127191,-0.000453713371878853,5.21510705975408,10.0917380928509,-0.126311771321347,0.305756492626418,1,0,0,0,0,18.8389534851028,13.5337087522886,0.0163571490121869,-0.00469689265367729,0.00338071342958226,0.0221244020042983,-0.00522185344696168,0.002494447929218,307806.42382858,592042.753836024,11902.0814939505,947833.019054768,-0.101645604056459,53955.0882237721
1,0.287396271095801,-0.0104505277988341,0.000486875036354329,0.00422397087703486,0.0477279146610606,-0.00045517919914676,5.25957792050518,10.0646378585988,-0.130247415415603,0.31399698498972,1,0,0,0,0,18.7004591161234,13.5019638597766,0.0163866735008104,-0.00498634567463952,0.000801399193812408,0.0220755706913383,-0.00539352113054121,3.44956191601549e-05,309720.612680458,589939.625371612,11902.0833615775,943693.189920411,-0.721901368610529,53955.0203556088
2,0.286547481559416,-0.0101425072875224,0.000255029408135087,0.00176284468670617,0.0492961122450681,-0.000568912732422909,5.30341624837768,10.013102314958,-0.131404000962833,0.322441893704066,1,0,0,0,0,18.5120331866215,13.4341227117276,0.0164075184544183,-0.00532412316076986,-0.00185832892971129,0.0220248834967383,-0.00550759631848084,-0.00231760259601602,311615.673139884,586820.774858899,11902.089494719,926903.028912452,-1.5645679420203,53954.6626289056
3,0.285429741185454,-0.00979806592167067,0.000169695176701078,-0.000677292706682045,0.050649877110101,-0.000550513397864009,5.34695579208218,9.93460965421609,-0.465519140538405,0.330993086772007,1,0,0,0,0,18.2753566053561,13.3303772151558,0.0164249343113156,-0.00558911744174022,-0.00439234363712958,0.0219677028925131,-0.0056737685023048,-0.0047434743426593,313553.563471476,582485.718618906,11902.1004718909,921263.759810086,-7.51938577243313,53954.2301716585
4,0.284059777470829,-0.00941878652536067,0.000160677106338185,-0.00308538836048425,0.0519053876584057,-0.00046722696172211,5.387969421666,9.82950742414081,-0.52652963279029,0.339632175627462,1,0,0,0,0,17.9935514047007,13.1922707114289,0.016437465260352,-0.00581086895293274,-0.00684089844697778,0.0219058311545499,-0.00585753761926521,-0.00717307445451809,315442.347692442,576989.168774645,11902.1167935159,919929.966288212,-11.6552122517415,53953.3548991387
5,0.282455775040468,-0.00900691230566768,0.000159461949611394,-0.00545030696019946,0.0530663101994205,-0.000383588036371345,5.42420381369023,9.69839478679742,-0.453832959384538,0.34829889654007,1,0,0,0,0,17.6700692097764,13.0217740478542,0.0164442328098449,-0.00601801627407318,-0.00924180906486992,0.0218407505368857,-0.00602559624210966,-0.00953735346849862,317193.919334051,570389.076996291,11902.1389395069,916285.027637294,-13.1473106413875,53951.9593278688
6,0.280637640187443,-0.00856592564767209,0.00012482688451004,-0.00776110602133243,0.0541124036457912,-0.000337876749823093,5.45354049687705,9.54195168113466,-0.342271992688347,0.357012561090807,1,0,0,0,0,17.3085282720162,12.8212107790104,0.0164452621940786,-0.00622692784163224,-0.0116114305595382,0.0217731482427478,-0.00615688489066389,-0.0117875259757215,318733.004457742,562729.594934306,11902.1673377395,906292.026633185,-12.3390239881573,53950.0281540261
7,0.278605646858753,-0.00810417129211803,0.000189601222515547,-0.0100112807174956,0.0558556622020747,-0.000210885499057969,5.47477704538731,9.36212897647421,0.736132713528929,0.374271018543532,1,0,0,0,0,16.9148692538187,12.5948800716057,0.0164410554515389,-0.00637568486298965,-0.0138414247587828,0.0217006933151741,-0.00630533735056554,-0.0140107414107075,320021.447337267,554060.676440804,11902.2053682348,901971.547583039,36.2780276447204,53944.8414114778
8,0.276436041758419,-0.00762400069820304,0.000302920746829758,-0.0121831443690505,0.0564642038097076,-5.14352015666962e-05,5.4852456020742,9.15622173509027,0.626035253699817,0.381285689724577,1,0,0,0,0,16.4876089834297,12.3416447768459,0.0164365268406464,-0.00648689209300976,-0.0159401957507557,0.0216251544303173,-0.00644765551700146,-0.0161375507416776,321009.1667053,544279.751756156,11902.2458870299,898347.014258,34.4018879243541,53942.1837047751
9,0.274134688644348,-0.00713182475157909,0.000557964408277272,-0.0142695975222361,0.0569308653956132,0.000221811274099459,5.48363150109618,8.92789799779061,0.598916926586015,0.388895952310953,1,0,0,0,0,16.0336599706653,12.0669598707095,0.0164315075850558,-0.00651642912956207,-0.0178249880354047,0.0215447830821998,-0.00662281428743757,-0.0182262943113883,321645.153089127,533524.683581452,11902.2909756938,904108.510994372,36.6235643079522,53938.9340930453
10,0.27172096492588,-0.00662589755164004,0.000638591848150413,-0.016258280520464,0.0571312741691314,0.000330570682864614,5.46758212447006,8.68236684353271,0.517491031802355,0.395867618970453,1,0,0,0,0,15.5577916078585,11.7739646117039,0.0164232434611102,-0.00660264750726546,-0.0197119613495452,0.0214633539196028,-0.0066957777311457,-0.0200284479234734,321814.432559879,522093.474669273,11902.340947465,890927.333967009,34.6730622730257,53935.5500387267
11,0.269217433530729,-0.00611675247376688,0.000724614003840828,-0.0181408123729656,0.0571181369095809,0.000434686701920102,5.43659601795034,8.42292213503901,0.44896315368981,0.402964848147921,1,0,0,0,0,15.0633124538207,11.4638819192724,0.0164138663423038,-0.0066638882541347,-0.02144884224789,0.0213794338803123,-0.00674458994416035,-0.0216641054581105,321513.190685052,510106.238981145,11902.3941374467,875580.563966202,32.7459813285539,53931.8505186559
12,0.266632646903174,-0.00560701149944528,0.000644682803089048,-0.0199097983542947,0.0570087894818668,0.000388789977224491,5.39000958427123,8.15492349700738,0.456101928938695,0.411270646641308,1,0,0,0,0,14.555465171759,11.1398717367499,0.0164014977905718,-0.00677404454751035,-0.0231500744966448,0.0212949355769658,-0.00669756248976654,-0.0230010173482889,320692.516160005,497831.96437197,11902.4527349104,843193.575828357,36.1932898162402,53927.410879223
13,0.264016124230768,-0.00510974048160607,0.0008326812143389,-0.0215572560776038,0.0566218478426692,0.000564922155119983,5.32826269712653,7.879770054448,0.437732970295164,0.420988949788158,1,0,0,0,0,14.0359303037077,10.8017715855178,0.0163906220362133,-0.0067404925479503,-0.0244698879496152,0.0212076716635553,-0.0067438269804727,-0.0243442566128423,319399.093245541,485288.887601974,11902.5085686559,833505.392594493,37.4729741514527,53923.0387660882
14,0.261355772375641,-0.00462314957884831,0.000976628714380254,-0.023081992043574,0.0563173721437164,0.000696923182330422,5.2517617493718,7.6038340247182,0.578691785938723,0.429664446638305,1,0,0,0,0,13.5116767731904,10.4544199294169,0.0163765596726999,-0.0066994016020493,-0.0256403879888514,0.0211209891975669,-0.00675216663937295,-0.0254716686025645,317594.598224434,472813.049785842,11902.5691207311,819044.989812509,53.7454601084657,53917.3887305748
15,0.258678940913329,-0.00415198595064017,0.00109918426716776,-0.0244805603467981,0.0559652325470537,0.000805476667989413,5.16157639811265,7.32988120393529,0.77190845351098,0.438445983058048,1,0,0,0,0,12.9861186155642,10.099522252998,0.0163596423714783,-0.00664098748546725,-0.0266354685462253,0.0210358882577682,-0.00673575150288379,-0.0263975685744431,315309.807468045,460531.262569166,11902.6320411341,802410.884762508,77.5565724926148,53911.0061175421
16,0.256006651614087,-0.00369979707322721,0.0012241205311994,-0.025752670292079,0.0555505812858772,0.000911482854870832,5.05920981596317,7.06062928266896,0.992974587439374,0.447341235954658,1,0,0,0,0,12.4629354963647,9.73911307161238,0.0163394910141424,-0.00655538437380165,-0.0274344123515605,0.0209535780314452,-0.00670823780283573,-0.0271421747198593,312585.063621503,448570.269968395,11902.6961331259,786243.081668969,107.490269078247,53904.0389871327
17,0.253357727754486,-0.00326841111397239,0.00135718627814456,-0.0269008367715372,0.0550840632068371,0.00102026833783276,4.94655095122159,6.79827094635065,1.23349505136552,0.456471922343794,1,0,0,0,0,11.9457083157774,9.37571480205363,0.0163157244679904,-0.00644123381997683,-0.0280353289304911,0.020875122762963,-0.00667550172182044,-0.0277165814115238,309476.104732989,437029.367942415,11902.7608395367,771473.972170758,143.272411816225,53896.5437806712
18,0.250755704589357,-0.00285784439853926,0.00147616689637195,-0.0279306724395288,0.0545476308674151,0.0011142000435509,4.82599543385988,6.54391431510354,1.4736189004797,0.465955938526211,1,0,0,0,0,11.4378574849448,9.01314164588063,0.0162893859443304,-0.00631021272649685,-0.0284615700248602,0.0208003934437036,-0.00663160156961601,-0.0281156228255985,306071.223363351,425941.353731901,11902.825469767,756488.811425283,182.802507971106,53888.6894865353
19,0.248240768895068,-0.00246880471287465,0.00177463909181118,-0.0288502321198058,0.0539331356030575,0.00134869358003548,4.69987020886461,6.29793636272841,1.70816863619782,0.4752928095472,1,0,0,0,0,10.9420165427996,8.65472555279429,0.0162626408884122,-0.0060790636199845,-0.0285756988897149,0.0207288277045227,-0.00666433967514903,-0.0284928294646008,302464.171393712,415300.398694583,11902.8843122731,758971.939100282,225.328532071474,53880.8420108726
20,0.24580023967418,-0.00209943435097936,0.00190646217802637,-0.0296709661165371,0.0532821307856762,0.00144597449354111,4.57068556831942,6.06169761149229,1.93687694451973,0.484256794825859,1,0,0,0,0,10.4618290931717,8.30466356903309,0.0162350732529258,-0.00590302944784394,-0.0286585807799988,0.0206601098313222,-0.00662584277624306,-0.0286177524367251,298740.15284535,405157.267043367,11902.9459253928,748132.896041957,270.655952701367,53872.5719505506
21,0.243437735650425,-0.00175030462814138,0.0017918919886334,-0.0304044319979476,0.0526102224701549,0.00134714036712137,4.44061292855943,5.83550275467001,2.15896316352019,0.493112645134319,1,0,0,0,0,9.9994695333193,7.96572045476205,0.0162078282997669,-0.00581992452943238,-0.0287889169077112,0.0205930970975179,-0.00648286347948205,-0.0284519913943353,294984.161827949,395505.896302595,11903.0135976478,717053.430096408,318.497750046656,53863.7141088626
22,0.241208291546989,-0.00142213008498271,0.00187235848741828,-0.0310626840302848,0.0519123972026223,0.00140100485438088,4.31108115806467,5.61888479612907,2.37824249612414,0.502297088606457,1,0,0,0,0,9.55563621765586,7.63934205535458,0.016183507864494,-0.00563741821866341,-0.0286463521801347,0.0205274971069479,-0.00643028747700727,-0.0283310784148345,291259.286030364,386310.987140529,11903.074725552,705371.30865487,369.317126485749,53854.9591882929
23,0.23910450900654,-0.0011149174806261,0.00193887426588458,-0.0316580962230101,0.0511730130202605,0.00144223099373318,4.18373001389859,5.41205772621912,2.58203016300958,0.51134470773284,1,0,0,0,0,9.13179755422391,7.32753140453095,0.016162748158915,-0.00545085820923497,-0.028408784872224,0.020462340309537,-0.00637803585451027,-0.0281225119930632,287628.145065304,377570.41768909,11903.1338037211,694424.62521227,420.762463580707,53846.1988673163
24,0.237127025923166,-0.000828353605645368,0.00199183888355097,-0.0322033210351504,0.0504363954759096,0.00147158307366099,4.05971840983555,5.21491782577791,2.78218178708609,0.520343050098003,1,0,0,0,0,8.72863088044088,7.03156675696246,0.0161462469750757,-0.00526215956934259,-0.0280955558325013,0.0203968187836669,-0.00632653422657469,-0.0278453792727384,284135.433733754,369270.703492717,11903.1923014245,684257.196090535,474.648752714005,53837.2655254037
25,0.235283853470897,-0.000563356019186525,0.00203150775708845,-0.0327093981271009,0.0496740154246366,0.0014894633146378,3.9397907251044,5.0272428973389,2.96891568473179,0.529180656997426,1,0,0,0,0,8.34654502000798,6.75188210102294,0.0161346840032128,-0.00507422881936784,-0.0277226875232204,0.0203306495738958,-0.00627612841226203,-0.0275140604268054,280809.979885229,361398.773221934,11903.2487197239,674815.425939492,528.950684171417,53828.3612764062
26,0.233574936029264,-0.000320233098957819,0.00206072617547057,-0.0331868012040489,0.0489001884368703,0.00149833828426683,3.82412119987429,4.84912800868119,3.14608379173809,0.53795271169265,1,0,0,0,0,7.98611288107261,6.48817716770647,0.0161269083232268,-0.00488824618752471,-0.0273053542841817,0.0202649481023447,-0.0062275270714036,-0.0271434360634396,277647.65277763,353970.675451151,11903.3033150656,666137.475506268,584.108302101824,53819.4579105449
27,0.232003027418353,-9.89734850372975e-05,0.00208427979839561,-0.033644739241359,0.048101767925073,0.00150200078875544,3.71273245698428,4.68050906978888,3.31037623878359,0.546602858481129,1,0,0,0,0,7.64754862418243,6.23987265722665,0.0161218408672373,-0.0047046316280925,-0.0268546992565335,0.020200960951673,-0.00618243402772179,-0.0267468850281929,274640.57217923,346994.558061583,11903.3549287859,658400.08486203,639.165183723816,53810.6826053265
28,0.230563349293405,0.000101621453290536,0.00209892933755126,-0.034091590491641,0.0472970553729432,0.00149824988955243,3.60551962385763,4.52128371567326,3.46698550786259,0.555053565201773,1,0,0,0,0,7.33079928623334,6.00633590237161,0.0161179618949346,-0.00452636307687382,-0.0263875216822719,0.0201399778621434,-0.00613869392271297,-0.0263314335783883,271775.375381998,340476.600354661,11903.4043646192,651051.827009163,694.949711815981,53801.9540523102
29,0.22925440957075,0.000283188303262074,0.00211447062958649,-0.0345346639010712,0.0464883242044406,0.00149458625689263,3.5022947020939,4.37124812641155,3.61696224519354,0.563505379284907,1,0,0,0,0,7.03556306073928,5.78683912702277,0.0161138685852083,-0.00435046921586967,-0.0259083194630476,0.0200833645802838,-0.00610022255479365,-0.0259113836348191,269037.496539869,334417.17546766,11903.4511273918,644704.423006973,751.511384319386,53793.3100673475
30,0.228071132514669,0.000447968356584609,0.00213209272806432,-0.0349802334214872,0.0456864831953401,0.0014919805962197,3.40281222544615,4.23016337632662,3.76332971571528,0.571848449892161,1,0,0,0,0,6.76135902947658,5.58062637121515,0.0161080057422084,-0.00417712551294466,-0.0254267749870082,0.0200324629216975,-0.00606716033899438,-0.0254937230164072,266410.822921702,328813.985917923,11903.4956394964,639211.957690406,809.407976078053,53784.7066210823
31,0.2270097046582,0.000598010207855131,0.00215231903752998,-0.0354317170489888,0.044869061102791,0.00149076978569314,3.30701056926474,4.0975492307848,3.90172757103066,0.579791194723171,1,0,0,0,0,6.50663965819057,5.38652561214416,0.0160999673669992,-0.00400686416068182,-0.0249475284382923,0.0199876589296648,-0.00603978332176389,-0.0250812474918952,263894.154903871,323645.15150638,11903.5362637359,634458.462845563,867.472547251409,53776.3147645557
32,0.226054691873388,0.000736194833430962,0.00217430882018204,-0.0358895292479803,0.0440465677355445,0.00149033240821019,3.21493214077258,3.9728175635392,4.0358289183422,0.587864163517478,1,0,0,0,0,6.26880893767985,5.20302929568733,0.0160897338910864,-0.00383941264652384,-0.0244728571110338,0.0199484088846476,-0.00601736134186579,-0.0246742852751214,261493.829370236,318878.199652346,11903.573474401,630304.241811951,926.448078554458,53768.0797558865
33,0.225187038951736,0.000865528205297152,0.00219673110710204,-0.0363530874310232,0.0432468668193899,0.00148970574363548,3.12653132911336,3.85542599947541,4.17250241372959,0.595923479158514,1,0,0,0,0,6.0453992672763,5.02871475943337,0.0160770473673469,-0.00367401136981511,-0.0240047204979543,0.0199141898354615,-0.00599874811548218,-0.0242725013152517,259211.606236614,314484.065054595,11903.6091896863,626585.040189723,988.038966700457,53759.8041958379
34,0.224404762229122,0.000986897054814798,0.00222510580415941,-0.0368214536365282,0.0424266671906345,0.00149279194556744,3.04183215458523,3.74473156253903,4.30337669439036,0.603974955222614,1,0,0,0,0,5.83416333165667,4.86217158341527,0.01606282054527,-0.00350894415955158,-0.0235362901251849,0.0198842600156199,-0.0059868375179046,-0.023877496344138,257056.681894576,310426.521216273,11903.6399011497,623771.989658033,1050.03547610579,53751.8396848739
35,0.223695416756689,0.00110188568367594,0.00225595088565145,-0.0372931160564003,0.0415909773115905,0.00149697934677617,2.96076237701271,3.6402075756167,4.43046922879402,0.612004610382086,1,0,0,0,0,5.63304355732338,4.70214574724086,0.0160472794030108,-0.00334517379930113,-0.023068786693527,0.0198579580243847,-0.00597986787588186,-0.0234856051151706,255031.075763165,306677.062524168,11903.6658855295,621541.329552821,1112.86146416312,53744.1650164148
36,0.223049443018636,0.00121165033910945,0.00228926835645458,-0.0377662910079271,0.0407377942238141,0.00150220807052515,2.88323854860863,3.54135163551526,4.55421094192171,0.620004349617066,1,0,0,0,0,5.44016212752274,4.54747312643053,0.0160307895800892,-0.00318237282562101,-0.0226000472365191,0.0198346264076819,-0.00597776414542872,-0.0230951472829471,253136.48242425,303208.61807684,11903.6867463333,619889.967658716,1176.55012650685,53736.8256684191
37,0.222458130505137,0.00131704895065481,0.00232475560478099,-0.0382389495779369,0.0398647702510752,0.00150820086025407,2.80916808461843,3.44769399515618,4.67487939740584,0.627969530294709,1,0,0,0,0,5.2538077720911,4.39708063932298,0.0160137617039844,-0.00302043744016787,-0.0221278050627484,0.0198135961430381,-0.00598031621053889,-0.0227040194671187,251373.983907658,299995.963676411,11903.7020771629,618796.108310357,1241.10355838121,53729.8727705733
38,0.221912465600528,0.00141887892384412,0.00236266764589943,-0.0387088850406409,0.0389745876688641,0.00151510046717711,2.73844035771437,3.35880956730291,4.79359885019277,0.635910518726251,1,0,0,0,0,5.07243087583166,4.24999863683464,0.0159965296881561,-0.00285889850214793,-0.0216493963682332,0.0197942398814566,-0.00598749929761196,-0.0223106140436954,249743.210577765,297016.642075381,11903.7118765723,618292.401048852,1306.78962773723,53723.3196139424
39,0.221408490862126,0.00151737575476968,0.00240263415558648,-0.0391760810830032,0.0380701931733193,0.00152267664281205,2.67092500511795,3.27431027333262,4.91116494977192,0.643852613692822,1,0,0,0,0,4.89533312481886,4.1058906160116,0.0159794545083413,-0.00269794389507704,-0.0211650341872434,0.0197760683776554,-0.00599901942231296,-0.0219150228121914,248242.418699757,294250.64017549,11903.7162535199,618347.214190389,1373.8096859798,53717.1766581615
40,0.220950547689477,0.00161195657362466,0.00244465294273603,-0.039643989908657,0.037149789589195,0.00153109613871834,2.6064829911831,3.19383872102832,5.0271542811777,0.651755428661464,1,0,0,0,0,4.72291576506095,3.96524120575004,0.015963031096785,-0.0025383446364381,-0.0206780266120954,0.019758765419413,-0.00601483990972708,-0.0215205737831892,246869.219424452,291679.928452671,11903.7149033989,618946.169914945,1442.00151342227,53711.5048392693
41,0.220545462683358,0.00170202010114593,0.00249459670484823,-0.0401164889344812,0.0362080819981161,0.00154481256682643,2.54498180975715,3.11707539520815,5.14062288477617,0.659694619617287,1,0,0,0,0,4.55562405047752,3.82855194413841,0.0159477899839862,-0.00237848219567468,-0.0201871356338765,0.0197421084658343,-0.00603772580212376,-0.0211347520201181,245621.194214157,289288.711948061,11903.7068031937,620596.991320311,1511.01947088366,53706.436542954
42,0.220192168186054,0.00178739277403543,0.00254754484449406,-0.0405967240817236,0.0352598859932005,0.00156047890840002,2.48626800454899,3.04374713073323,5.25402312774695,0.667658880290996,1,0,0,0,0,4.39383935460385,3.69628025410209,0.0159338682219882,-0.00222058839414172,-0.019699812472461,0.0197258307626514,-0.00606498244122358,-0.0207576608720272,244493.703358985,287063.846958619,11903.6935579728,622848.911093661,1581.62473819124,53701.8483332264
