U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop,T_rotor
0,0.287963100963658,-0.0107067052662208,0.000598607511623535,0.00669938739496109,0.0460949361127191,-0.000453713371878848,5.2151070597541,10.0917380928509,-0.126311771321349,0.305756492626418,1,0,0,0,0,18.8389534851028,13.5337087522886,0.016357149012187,-0.00469689265367729,0.00338071342958225,0.0221244020042982,-0.00522185344696167,0.002494447929218,307806.423828581,592042.753836023,11902.0814939505,947833.019054768,-0.101645604056242,53955.0882237721
5,0.282455775040468,-0.00900691230566769,0.000159461949611391,-0.00545030696019946,0.0530663101994205,-0.000383588036371345,5.42420381369023,9.69839478679742,-0.453832959384536,0.34829889654007,1,0,0,0,0,17.6700692097764,13.0217740478543,0.0164442328098448,-0.00601801627407319,-0.00924180906486992,0.0218407505368857,-0.00602559624210966,-0.00953735346849862,317193.919334051,570389.07699629,11902.1389395069,916285.027637293,-13.1473106413875,53951.9593278687
10,0.27172096492588,-0.00662589755164001,0.000638591848150413,-0.016258280520464,0.0571312741691314,0.000330570682864617,5.46758212447006,8.68236684353271,0.517491031802356,0.395867618970453,1,0,0,0,0,15.5577916078585,11.7739646117039,0.0164232434611102,-0.00660264750726545,-0.0197119613495452,0.0214633539196028,-0.00669577773114571,-0.0200284479234734,321814.432559879,522093.474669274,11902.340947465,890927.333967009,34.6730622730257,53935.5500387267
15,0.258678940913326,-0.00415198595063997,0.00109918426716668,-0.0244805603467986,0.0559652325470912,0.000805476667988611,5.16157639811267,7.32988120393541,0.771908453530074,0.438445983058216,1,0,0,0,0,12.9861186155643,10.0995222529982,0.0163596423714781,-0.00664098748546754,-0.0266354685462271,0.0210358882577682,-0.00673575150288322,-0.0263975685744434,315309.807468044,460531.262569172,11902.6320411341,802410.884762416,77.5565724946321,53911.006117542
20,0.245800239674181,-0.00209943435097938,0.0019064621780268,-0.0296709661165371,0.0532821307856722,0.00144597449354144,4.57068556831942,6.06169761149229,1.93687694451831,0.484256794825847,1,0,0,0,0,10.4618290931717,8.30466356903308,0.0162350732529258,-0.0059030294478438,-0.0286585807799984,0.0206601098313222,-0.00662584277624328,-0.0286177524367253,298740.152845351,405157.267043367,11902.9459253928,748132.896041996,270.655952701152,53872.5719505506
25,0.235283853470897,-0.000563356019186583,0.00203150775708842,-0.0327093981271009,0.0496740154246344,0.00148946331463777,3.9397907251044,5.0272428973389,2.96891568473119,0.52918065699742,1,0,0,0,0,8.34654502000798,6.75188210102294,0.0161346840032128,-0.00507422881936789,-0.0277226875232203,0.0203306495738957,-0.00627612841226203,-0.0275140604268053,280809.97988523,361398.773221933,11903.2487197239,674815.425939489,528.950684171297,53828.3612764061
30,0.22807113251467,0.0004479683565845,0.00213209272806421,-0.0349802334214872,0.0456864831953349,0.00149198059621961,3.40281222544616,4.23016337632661,3.76332971571411,0.571848449892148,1,0,0,0,0,6.76135902947658,5.58062637121514,0.0161080057422085,-0.00417712551294483,-0.0254267749870081,0.0200324629216975,-0.0060671603389944,-0.025493723016407,266410.822921702,328813.985917923,11903.4956394964,639211.957690397,809.407976077773,53784.7066210823
35,0.225535197544562,0.00101847106504967,0.00203276450018176,-0.0445165242411412,0.0415909775250084,0.00169406026524478,2.97332301150536,3.64312173456665,3.41660200073037,0.600767227356545,1,-0.261799387799149,0,0,0,5.64775896074081,4.70957487116095,0.0161514556707258,0.00153189965283114,-0.0262141526684665,0.019904143396116,-0.000840491262042384,-0.0263020940968447,255909.6899814,306930.979207117,11903.6503432105,611524.033479533,836.133919211248,53874.0712271229
40,0.223175302545211,0.00146615296215671,0.00217889396544649,-0.0475063004457887,0.0371497896682787,0.00170783688330497,2.62213815370751,3.1936621912755,4.0942860752964,0.640896064561444,1,-0.261799387799149,0,0,0,4.73847428015921,3.96971338279444,0.0161036028451786,0.00264044121857163,-0.0240516862447685,0.019792011389401,-0.000470645387740801,-0.0245076986084331,247959.455782588,291668.247438715,11903.6987298153,606394.164827609,1150.08760212547,53857.3363459578
45,0.230761810179645,0.00137576849494936,0.00155552418320937,-0.0741492151002211,0.0323319114261194,0.00210263388075334,2.43811627397964,2.89886639721231,1.87823724623038,0.647278985167705,1,-0.261799387799149,0,0,0,4.08992613203339,3.41045463270564,0.0169124033351225,0.0181753671115341,-0.0318812882826227,0.020260691807745,0.0154402004106589,-0.0315650333499551,249798.882095193,286143.638716476,11903.5706709804,580157.302372959,560.924602274958,55468.4412298183
