U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop,T_rotor
0,0.287963100963658,-0.010706705266221,0.000598607511627847,0.00669938739496103,0.0460949361127434,-0.000453713371874852,5.21510705975413,10.0917380928509,-0.126311771326398,0.305756492626418,1,0,0,0,0,18.8389534851028,13.5337087522886,0.0163571490121871,-0.00469689265367536,0.00338071342958542,0.0221244020042981,-0.00522185344696352,0.00249444792921479,307806.423828583,592042.753836018,11902.0814939505,947833.019055159,-0.101645602715996,53955.088223772
1,0.287396271095801,-0.0104505277988339,0.000486875036350426,0.00422397087703487,0.047727914661173,-0.000455179199150366,5.25957792050515,10.0646378585988,-0.13024741543767,0.31399698498972,1,0,0,0,0,18.7004591161234,13.5019638597766,0.0163866735008102,-0.00498634567464124,0.000801399193809508,0.0220755706913383,-0.00539352113053951,3.44956191630326e-05,309720.612680455,589939.625371614,11902.0833615775,943693.189920054,-0.721901362560497,53955.0203556086
2,0.286547481559408,-0.0101425072875208,0.00025502940809248,0.00176284468670623,0.0492961122458911,-0.00056891273246213,5.30341624837735,10.0131023149589,-0.131404001124029,0.322441893704066,1,0,0,0,0,18.5120331866223,13.4341227117282,0.0164075184544164,-0.00532412316078867,-0.00185832892974324,0.0220248834967384,-0.00550759631846245,-0.00231760259598497,311615.673139855,586820.774858943,11902.089494719,926903.028908575,-1.56456789793485,53954.6626289035
3,0.285429741185621,-0.00979806592165907,0.000169695176573572,-0.000677292706669622,0.0506498770981553,-0.000550513397984022,5.3469557920806,9.93460965420491,-0.46551913549596,0.330993086772007,1,0,0,0,0,18.27535660534,13.3303772151436,0.0164249343113305,-0.00558911744180156,-0.00439234363720635,0.0219677028925271,-0.00567376850225235,-0.00474347434254334,313553.563471558,582485.718618632,11902.1004718908,921263.759798001,-7.51938641846628,53954.2301716918
4,0.284059777470829,-0.00941878652536075,0.000160677106338219,-0.00308538836048425,0.051905387658401,-0.000467226961722087,5.387969421666,9.8295074241408,-0.526529632789358,0.339632175627462,1,0,0,0,0,17.9935514047007,13.1922707114289,0.0164374652603521,-0.00581086895293273,-0.00684089844697774,0.0219058311545499,-0.00585753761926522,-0.00717307445451811,315442.347692443,576989.168774644,11902.1167935159,919929.966288215,-11.6552122519892,53953.3548991388
5,0.282455775040466,-0.00900691230566763,0.000159461949609861,-0.00545030696019973,0.0530663101995552,-0.000383588036372695,5.42420381369024,9.69839478679769,-0.45383295940754,0.34829889654007,1,0,0,0,0,17.6700692097767,13.0217740478545,0.0164442328098446,-0.00601801627407378,-0.00924180906487156,0.0218407505368856,-0.006025596242109,-0.0095373534684981,317193.919334049,570389.076996303,11902.1389395069,916285.027637169,-13.1473106340783,53951.9593278684
6,0.280637640187443,-0.00856592564767207,0.00012482688451004,-0.00776110602133243,0.0541124036457912,-0.000337876749823093,5.45354049687704,9.54195168113466,-0.342271992688348,0.357012561090807,1,0,0,0,0,17.3085282720162,12.8212107790104,0.0164452621940786,-0.00622692784163224,-0.0116114305595382,0.0217731482427478,-0.00615688489066389,-0.0117875259757215,318733.004457741,562729.594934306,11902.1673377395,906292.026633185,-12.3390239881564,53950.0281540261
7,0.278605646858752,-0.00810417129211802,0.000189601222516176,-0.0100112807174957,0.0558556622021055,-0.000210885499057395,5.47477704538731,9.36212897647429,0.736132713523768,0.374271018543532,1,0,0,0,0,16.9148692538188,12.5948800716058,0.0164410554515388,-0.00637568486298933,-0.0138414247587825,0.0217006933151741,-0.00630533735056581,-0.0140107414107083,320021.447337267,554060.676440808,11902.2053682348,901971.547583101,36.2780276463889,53944.8414114777
8,0.276436041758418,-0.00762400069820304,0.000302920746830054,-0.0121831443690506,0.0564642038097219,-5.14352015664249e-05,5.4852456020742,9.15622173509031,0.626035253697386,0.381285689724577,1,0,0,0,0,16.4876089834298,12.341644776846,0.0164365268406464,-0.00648689209300961,-0.0159401957507556,0.0216251544303173,-0.00644765551700158,-0.016137550741678,321009.1667053,544279.751756157,11902.2458870299,898347.014258031,34.401887925132,53942.1837047751
9,0.274134688644348,-0.00713182475157915,0.00055796440827727,-0.0142695975222361,0.0569308653956132,0.000221811274099455,5.48363150109618,8.9278979977906,0.59891692658602,0.388895952310953,1,0,0,0,0,16.0336599706653,12.0669598707095,0.0164315075850559,-0.00651642912956208,-0.0178249880354047,0.0215447830821998,-0.00662281428743757,-0.0182262943113883,321645.153089127,533524.683581452,11902.2909756938,904108.510994372,36.6235643079501,53938.9340930454
10,0.27172096492588,-0.00662589755164006,0.000638591848150409,-0.016258280520464,0.0571312741691314,0.000330570682864602,5.46758212447007,8.6823668435327,0.517491031802354,0.395867618970453,1,0,0,0,0,15.5577916078585,11.7739646117039,0.0164232434611102,-0.00660264750726545,-0.0197119613495452,0.0214633539196028,-0.0066957777311457,-0.0200284479234734,321814.432559879,522093.474669273,11902.340947465,890927.333967009,34.673062273026,53935.5500387266
11,0.269218498660378,-0.00611689136534114,0.000730471050702446,-0.0181406745933492,0.0571008411362207,0.000439708929809968,5.43659500365221,8.42283873723274,0.43712980861998,0.402858155112197,1,0,0,0,0,15.0632164424241,11.4637980163853,0.0164139893787665,-0.00666133956719193,-0.0214441347958495,0.0213793915165558,-0.00674711656050843,-0.0216680546885524,321514.281248486,510101.604864518,11902.3938914768,876105.645686851,31.8499794733157,53931.9139274047
12,0.266649764968866,-0.0056106413460018,0.000841312975866705,-0.019908374675409,0.0568475075471629,0.000556504201678577,5.39013077329214,8.15350090781999,0.363323556195224,0.409719241744585,1,0,0,0,0,14.5540023688038,11.1385190772072,0.0164038712835132,-0.00668753435462463,-0.0229983250140314,0.0212935964398558,-0.00678217673913104,-0.0231405626348185,320718.243131473,497744.393854658,11902.4484342483,860902.301170881,28.6163130404151,53928.0510692438
13,0.264056979224704,-0.00511144073018234,0.000814033696897089,-0.0215499466781961,0.0559510537434213,0.000547706728136176,5.32781964418073,7.87772010164187,0.0156414636774434,0.416727539412683,1,0,0,0,0,14.0332151093503,10.799477331728,0.0163936257579738,-0.00675108311604257,-0.0244687603785023,0.0212078404757855,-0.00673690784636957,-0.0243148315254087,319409.255292326,485191.276783246,11902.4986787083,831675.80209887,1.29701789406965,53925.5929370643
14,0.261429440633768,-0.00462701109081518,0.000969141057695031,-0.0230692379106759,0.0552456558861167,0.000688172136956991,5.25108770066912,7.6004888173561,-0.0445714102139601,0.423932256320654,1,0,0,0,0,13.5073606402942,10.4507070857076,0.0163819737581942,-0.00670708090413023,-0.0256187968292793,0.0211210084177994,-0.00675121283231204,-0.0254383341368775,317616.142617612,472649.093203116,11902.5506796052,818153.761521836,-3.96280249185927,53921.5835252078
15,0.258796276108015,-0.00415894558260526,0.00110138630075675,-0.0244609712291684,0.0544298309944898,0.000803511206361336,5.16068095246542,7.32512298267551,-0.0537729450117868,0.431198737988055,1,0,0,0,0,12.9801346085927,10.0942812613964,0.0163681463039913,-0.00664728419864301,-0.0265907778820756,0.0210356856827586,-0.00674078605783472,-0.0263558933225896,315347.370639948,460293.206582248,11902.6018859364,802336.296859631,-5.12030772843781,53917.1856728397
