U,theta_preconfig
0,0.0461691481834024
1,0.0478028352351565
2,0.0493515942817666
3,0.0507924118787892
4,0.0521032273949135
5,0.0532632477141793
6,0.0542533895257757
7,0.0550568613345367
8,0.0556598729776511
9,0.0560521460115892
10,0.0562261095851592
11,0.0562150993783767
12,0.0561535724443685
13,0.0560423714532439
14,0.0558832050397252
15,0.0556785501736633
16,0.0554315031394286
17,0.0551457248510727
18,0.0548255788323074
19,0.0544756421586575
20,0.0541003903068502
21,0.0537039844374853
22,0.0532901464130538
23,0.0528621023320126
24,0.0524225764217613
25,0.0519737972497625
26,0.0515175023281459
27,0.0510549631608695
28,0.0505870949142341
29,0.0501143742875043
30,0.0496369472838145
31,0.0491544559484388
32,0.0486660566511518
33,0.0481707991064208
34,0.0476676418536771
35,0.0471554327736154
36,0.046632877998385
37,0.0460984982045102
38,0.0455505736542745
39,0.0449873453382909
40,0.0444070501683441
41,0.0438073298570259
42,0.0431850372420382
43,0.0425367103300963
44,0.0418588796300139
45,0.0411488930838866
46,0.0404040843209371
47,0.0396217868231511
48,0.0388009650563055
49,0.0379431892539113
50,0.0370529533386725
51,0.0361380320211847
52,0.0352090246006272
53,0.0342749656576436
54,0.0333329439188935
55,0.0323795215200496
56,0.0314189771253967
57,0.030448039704753
58,0.0294626808772215
59,0.0284577522470239
60,0.0274267295732111
61,0.0263624852622304
62,0.0252590315207442
63,0.0241086082280035
64,0.0228997660321272
65,0.0216146947709323
66,0.0202235602475203
67,0.0186712847810533
68,0.016864997637851
69,0.0146751013948113
70,0.0120284276120036
71,0.0105920089183449
72,0.00911784633444521
73,0.00761236439784124
74,0.00608390639843256
75,0.00454233235253212
76,0.00300599548887845
77,0.00151226436226146
78,-7.07420365178568e-06
79,-0.00156650691680416
80,-0.00316861622500539
81,-0.0048162627328576
82,-0.0065126197932161
83,-0.00826121291659951
84,-0.0100659646673358
85,-0.0119312457614789
86,-0.0138619330982879
87,-0.0158634754185416
88,-0.0179419671480215
89,-0.0201042306884212
90,-0.0223579068606387
91,-0.0247115522344935
92,-0.0271747404670082
93,-0.0297581621883141
94,-0.0324737139585904
95,-0.0353345607653062
96,-0.0383551477243811
97,-0.0415511244369278
98,-0.0449391296727362
99,-0.0485363659572831
100,-0.0523598775598299
