U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop
0,0.307067048549865,-0.0110171001725028,0.000680446200204809,0.00736686168924317,0.0454831087172971,-0.000500927736381079,5.72552342043287,11.0803825758762,-0.126311771321365,0.305756492626418,1,0,0,0,0,20.6840398978657,14.8592280333618,0.0165221038170636,-0.00455744954145558,0.00393459451420774,0.0223444813554832,-0.00520103961127489,0.00303324368887448,300459.079520653,612583.811709779,11902.0814939505,924944.994122779,-0.10164560405161
1,0.306470046859717,-0.0107414939966358,0.000339318768784442,0.00446675700337445,0.0477098661244874,-0.000721782839987213,5.7733679260189,11.0550350897414,1.26898550300456,0.329659350293512,1,0,0,0,0,20.5368786896671,14.8281409937531,0.0165501371217009,-0.00497826553276046,0.00125341210517343,0.0222995709225328,-0.00529395155988738,0.000765191670353426,302487.415619511,610539.460781101,11902.0833809046,924967.747358805,18.3394892781027
2,0.305614133535064,-0.0104324035968608,0.000274644485434888,0.00157753814660675,0.0492559818561315,-0.000688500897688362,5.82389573600879,11.0059069222654,0.396453854222685,0.330325339101659,1,0,0,0,0,20.3421520058051,14.76266702549,0.0165785050823559,-0.00526242270311374,-0.00123976742428304,0.0222480960122732,-0.00551054920284171,-0.00167267043365697,304686.536214218,607385.733695384,11902.089520263,923978.358494576,6.05225226216213
3,0.304514954989391,-0.0100828493276977,0.000220892668949928,-0.00128784469531886,0.0506830110984287,-0.000647841071295119,5.87403331772496,10.9338349968104,-0.464418651305842,0.331051132466187,1,0,0,0,0,20.1027725730506,14.6643402500843,0.016602554248635,-0.00553620091391103,-0.00371122416240604,0.0221942145604212,-0.00572360087003206,-0.00408935306112963,306900.978869442,603253.164285191,11902.1005687373,922062.052761616,-7.50491571605227
4,0.3031849194294,-0.00969846093336785,0.000209053963437864,-0.00412082434594865,0.0521651813690483,-0.000572804835731229,5.9224404842586,10.8383087537731,-0.526478728357166,0.339632175627462,1,0,0,0,0,19.8217273251433,14.5346469835725,0.0166225715084948,-0.00578271343221291,-0.00613221317286926,0.0221376021601301,-0.00594328510993919,-0.00649227119069921,309087.051958282,598115.282130052,11902.1172875039,919114.677673585,-11.6543710970393
5,0.301642137504046,-0.00928246929837334,0.000201724005151047,-0.00691135088922219,0.0535638710608478,-0.000498811563320396,5.96730451728913,10.7191351264034,-0.453710043389925,0.34829889654007,1,0,0,0,0,19.5020214350217,14.3752672381619,0.0166385227255859,-0.00601815862730772,-0.00851750999771749,0.0220790384280737,-0.0061485610600283,-0.00884231116551099,311180.656373822,591981.631173385,11902.1402633269,915074.367270534,-13.1442446354775
6,0.299904455564412,-0.00883820248048251,0.000152816892539849,-0.00964922277656908,0.0548610300328233,-0.000468068649463616,6.00675097444347,10.5764331118007,-0.34204962945241,0.357012561090807,1,0,0,0,0,19.1469789802525,14.1883401483304,0.0166504711247848,-0.00626281961383981,-0.0108866684873177,0.0220189849866092,-0.00631475661836302,-0.0110944960521319,313116.141158977,584867.939260438,11902.1701289143,909893.280595999,-12.3316269190526
7,0.297969648934349,-0.00837327672938533,0.000208465842340278,-0.0123303780492322,0.056870498289165,-0.000349588290908465,6.03963971837006,10.41160673936,0.736475436292137,0.374271018543532,1,0,0,0,0,18.7621408550743,13.9778970327677,0.0166584930732188,-0.00644321093798943,-0.013136723590014,0.0219554062449796,-0.00650585973332204,-0.0133382541557566,314853.667050135,576800.786445245,11902.2105133887,903601.216583993,36.2965867918694
8,0.295911535579095,-0.00789005190236258,0.000312819834063482,-0.0149345699933117,0.0577556460732075,-0.000196680947661668,6.06349640829283,10.221134002065,0.626532795879145,0.381285689724577,1,0,0,0,0,18.3454847183366,13.7423614987599,0.0166671464497581,-0.00658770977745411,-0.0152787017991835,0.0218899986562732,-0.0066956111948619,-0.0155078565378644,316352.740456103,567644.906763784,11902.254343346,895935.855453519,34.4312920249874
9,0.293731829205912,-0.00739381738386546,0.000569472779962484,-0.0174560365376609,0.0585090505607241,8.05908420791442e-05,6.07689474559845,10.0079738942099,0.59960235194207,0.388895952310953,1,0,0,0,0,17.9032425017543,13.48664510444,0.0166757654373365,-0.00664363437532052,-0.0172339176921976,0.0218213156947976,-0.00693020561099657,-0.0176635246752011,317553.712891489,557508.756120826,11902.303858228,887001.416721052,36.6681512961513
10,0.291443100999409,-0.00688444934691231,0.000631868982292343,-0.0198816108850951,0.0590091914157805,0.000178250833359938,6.07775559595342,9.77646811940158,0.518386375887522,0.395867618970453,1,0,0,0,0,17.439479693172,13.2130843672248,0.0166824986566014,-0.00677537471062621,-0.0192170581718462,0.0217519120945858,-0.00704876992454512,-0.0195621841391556,318360.113048091,546636.902437613,11902.359806862,876929.386485661,34.7360890960301
11,0.289063698753516,-0.00637117795531838,0.000705347324461107,-0.0222019458659448,0.0592847330759483,0.000277466698173246,6.06511473992068,9.5293637463496,0.438290135807963,0.402858155112197,1,0,0,0,0,16.9564130109962,12.9218871570516,0.0166886664937949,-0.00688299377365961,-0.0210753108204023,0.0216809699678342,-0.00714686123985579,-0.0213267713413101,318746.658463464,535135.425341732,11902.4202698814,865807.834159378,31.937862528509
12,0.28660992188311,-0.00585923499842997,0.000800763454939799,-0.0244068520488733,0.0593381444741625,0.000387717675893611,6.03798918000894,9.2703310141718,0.364594232326971,0.409719241744585,1,0,0,0,0,16.4570983987481,12.6141309480301,0.0166940988911051,-0.00695987561896916,-0.0227854440306432,0.0216091893194834,-0.00723080051700947,-0.0229528923434828,318670.088193585,523179.367404853,11902.4838872199,853769.391065427,28.7194544096859
13,0.284116413518031,-0.00535418716728598,0.000748407981027934,-0.0264800555289498,0.0587416345382022,0.000365394909668005,5.99566167604647,9.0020348031429,0.0170222816228983,0.416727539412683,1,0,0,0,0,15.9435079776226,12.2900360689212,0.0166998854082209,-0.00708850070879375,-0.0244372662133173,0.0215377049976271,-0.00722503275210961,-0.0243100052023307,318108.602435892,510899.864659594,11902.5446034289,840911.051748973,1.41167995731451
14,0.281569167603274,-0.00485945437159977,0.000900568069207494,-0.028425794921107,0.0583255628824437,0.000510065961039184,5.93834487674219,8.72968177877201,-0.0426207032307073,0.423932256320654,1,0,0,0,0,15.4212495090484,11.9529358944765,0.0167032722617119,-0.00709542185529843,-0.0257969652317909,0.0214667476849821,-0.00729377091655768,-0.0256380348716952,317031.103508051,498534.700943799,11902.6083296126,827468.681997272,-3.78992876404715
15,0.278990925645232,-0.00437839427269177,0.00103416324180352,-0.0302338217612284,0.0577821002090483,0.000632800618738938,5.86635468829813,8.45615842910799,-0.0514985598065797,0.431198737988055,1,0,0,0,0,14.8931795634129,11.6039747135673,0.0167041942850279,-0.00708827600217119,-0.0269989383229413,0.021397894003266,-0.00733678273877729,-0.0267804092980769,315439.737516812,486229.260230095,11902.6724334789,813572.091140176,-4.90452163899778
16,0.27640290070697,-0.00391410587226349,0.00118935576600836,-0.0318985846466642,0.0570691541360893,0.000767285556194036,5.78041226770723,8.18411578722692,-0.0428329266564045,0.438309148127436,1,0,0,0,0,14.3622140651982,11.2444227302201,0.0167022271201907,-0.00704849473891325,-0.0280069771339035,0.0213323899655803,-0.00737643162395547,-0.027758857379313,313346.214204694,474110.985078795,11902.7340759137,799360.244216179,-4.3544538074072
17,0.27381690691879,-0.00346884435604259,0.00129852730823127,-0.0334188459835017,0.0562076523391814,0.000859014285822488,5.68197934950842,7.91598662635117,-0.0184139644979185,0.445390297380194,1,0,0,0,0,13.8318682719225,10.8766278183486,0.0166969640539039,-0.00700900633900222,-0.0288636825635554,0.0212709686041136,-0.00738419084841375,-0.0285304502475919,310790.929606675,462288.147100576,11902.7934852115,784981.93133147,-1.99214976058138
18,0.271266497134113,-0.00304250781423573,0.00143861584784048,-0.0347940211384997,0.0551482613525461,0.000970798947572545,5.57286211888855,7.65264350191883,-0.00705736583727272,0.452276875800984,1,0,0,0,0,13.3049497679137,10.5040002839559,0.0166897170168818,-0.00693523422012668,-0.0295139922129851,0.021213551881829,-0.00740097032794141,-0.0291468823169168,307843.53820487,450782.309430012,11902.8463180519,770528.703468375,-0.808977881676868
